R
Px,I,D,Py,I,D,Pz,I,D,FFrx,y,FFdrx,y,satI,satPID,DTermC
175,25,1500,200,25,1800,600,200,0,0,0,0,7,75,10
sysTime,GRawX,GRawY,GRawZ,GPT1Y,GPT1X,GPT2X,GPT2Y,ARawX,ARawY,ARawZ,APT1Y,APT1Z,APT1X,APT2X,APT2Y,APT2Z
56.253,0.084,-0.340,-2.026,-0.327,-0.609,-0.591,-0.454,0.308,-0.079,9.872,0.274,-0.136,9.851,0.271,-0.135,9.848
56.264,-2.478,-5.467,-3.735,-1.330,-1.768,-0.675,-0.756,0.280,-0.136,9.843,0.275,-0.135,9.856,0.272,-0.135,9.850
56.276,1.427,-2.049,-3.369,-0.845,-1.338,-0.705,-0.800,0.287,-0.136,9.865,0.274,-0.130,9.860,0.273,-0.134,9.853
56.286,-5.652,4.176,-1.416,-1.106,-0.139,-0.699,-0.768,0.323,-0.158,9.836,0.280,-0.131,9.854,0.274,-0.133,9.853
56.297,1.427,-3.636,0.781,-1.125,-0.240,-0.854,-0.543,0.237,-0.122,9.865,0.272,-0.133,9.848,0.274,-0.133,9.852
56.309,6.066,-6.199,3.344,0.234,-0.446,-0.716,-0.362,0.265,-0.114,9.843,0.273,-0.138,9.850,0.274,-0.135,9.852
56.321,0.939,2.345,2.612,-0.800,0.159,-0.558,-0.192,0.287,-0.122,9.865,0.273,-0.136,9.850,0.274,-0.135,9.851
56.332,-1.014,3.199,-8.008,-0.146,1.155,-0.469,0.226,0.280,-0.122,9.850,0.274,-0.138,9.856,0.274,-0.136,9.852
56.342,4.845,1.979,-7.642,-0.494,1.133,-0.533,0.518,0.251,-0.114,9.836,0.272,-0.135,9.850,0.274,-0.136,9.852
56.354,-5.408,2.101,-7.520,-2.122,0.745,-1.031,0.597,0.301,-0.107,9.879,0.273,-0.130,9.856,0.273,-0.135,9.853
56.365,-2.845,3.077,3.954,-2.551,0.591,-1.650,0.510,0.273,-0.165,9.901,0.271,-0.133,9.861,0.273,-0.134,9.854
56.377,2.281,1.857,-1.904,-2.177,0.934,-1.949,0.635,0.273,-0.100,9.857,0.275,-0.129,9.859,0.273,-0.134,9.856
56.388,-3.821,-1.683,6.274,-1.936,-0.411,-1.831,0.321,0.273,-0.136,9.857,0.278,-0.129,9.860,0.274,-0.132,9.857
56.399,0.939,0.636,-3.003,-1.427,-0.198,-1.794,0.075,0.251,-0.114,9.829,0.273,-0.127,9.855,0.274,-0.131,9.857
56.410,-0.892,-1.561,5.786,-0.885,0.024,-1.541,-0.016,0.251,-0.122,9.836,0.271,-0.122,9.857,0.274,-0.129,9.857
56.422,2.281,-3.148,0.536,-0.956,-0.617,-1.429,-0.113,0.258,-0.122,9.843,0.271,-0.121,9.852,0.273,-0.127,9.856
56.433,-1.624,-0.340,2.978,-0.780,-0.400,-1.163,-0.234,0.280,-0.165,9.850,0.273,-0.130,9.854,0.273,-0.127,9.855
56.443,-0.159,0.025,-4.346,-0.198,0.059,-0.834,-0.173,0.265,-0.136,9.865,0.270,-0.129,9.859,0.273,-0.127,9.856
56.455,-0.892,1.368,-3.125,0.180,0.909,-0.490,0.232,0.258,-0.122,9.843,0.270,-0.127,9.862,0.272,-0.127,9.857
56.466,-1.868,2.101,6.396,-0.923,0.934,-0.507,0.448,0.280,-0.165,9.872,0.272,-0.133,9.863,0.272,-0.128,9.859
56.478,0.694,-0.706,3.588,-1.319,0.564,-0.770,0.521,0.287,-0.143,9.843,0.271,-0.130,9.856,0.272,-0.128,9.858
56.489,-1.258,-5.467,4.931,-1.655,-0.260,-1.027,0.404,0.215,-0.150,9.829,0.266,-0.131,9.853,0.271,-0.129,9.857
56.500,-1.136,-1.316,4.199,-1.072,0.172,-1.048,0.357,0.294,-0.129,9.857,0.265,-0.131,9.853,0.270,-0.129,9.856
56.511,-2.967,-4.857,-1.294,-0.760,-0.220,-0.949,0.190,0.294,-0.150,9.829,0.269,-0.137,9.846,0.269,-0.131,9.854
56.523,2.037,5.152,2.123,-0.196,0.537,-0.761,0.175,0.237,-0.158,9.829,0.264,-0.140,9.851,0.268,-0.132,9.853
56.534,-5.408,-0.584,-8.984,-0.857,-0.082,-0.628,0.127,0.273,-0.079,9.865,0.265,-0.129,9.852,0.267,-0.133,9.852
56.544,2.892,0.025,-1.782,-0.306,0.427,-0.645,0.137,0.273,-0.100,9.836,0.266,-0.126,9.850,0.267,-0.132,9.852
56.556,2.770,5.397,6.640,0.354,1.260,-0.394,0.312,0.237,-0.136,9.814,0.260,-0.132,9.852,0.266,-0.131,9.852
56.567,1.427,1.612,0.781,0.569,0.609,-0.026,0.476,0.273,-0.143,9.857,0.267,-0.133,9.852,0.266,-0.131,9.852
56.579,-3.821,-2.781,5.541,0.182,0.742,0.135,0.600,0.316,-0.129,9.829,0.272,-0.135,9.853,0.267,-0.132,9.853
56.591,-7.606,-3.025,-8.252,-0.628,0.681,0.103,0.756,0.280,-0.158,9.865,0.273,-0.144,9.853,0.269,-0.135,9.853
56.601,2.526,3.199,3.832,0.020,0.829,0.011,0.667,0.287,-0.136,9.843,0.270,-0.146,9.852,0.269,-0.137,9.853
56.612,2.037,2.833,-0.317,0.375,0.263,0.084,0.520,0.244,-0.100,9.843,0.270,-0.139,9.849,0.270,-0.139,9.852
56.624,-1.136,-0.950,2.856,0.353,-0.389,0.262,0.245,0.244,-0.136,9.814,0.264,-0.142,9.853,0.269,-0.139,9.852
56.635,-1.868,0.270,7.617,-0.205,-0.716,0.168,-0.170,0.280,-0.143,9.843,0.268,-0.137,9.851,0.269,-0.139,9.853
56.647,2.159,-3.636,-2.514,-0.082,-1.029,-0.008,-0.477,0.308,-0.143,9.850,0.268,-0.137,9.851,0.268,-0.139,9.852
56.657,-1.014,4.054,-2.026,-0.930,-0.347,-0.235,-0.585,0.258,-0.079,9.821,0.264,-0.133,9.852,0.267,-0.138,9.852
56.668,3.258,-0.340,-2.514,-0.845,-0.636,-0.565,-0.544,0.251,-0.136,9.807,0.265,-0.132,9.851,0.267,-0.137,9.852
56.680,-0.769,-1.561,4.077,-0.139,-0.446,-0.440,-0.466,0.273,-0.136,9.843,0.266,-0.124,9.852,0.267,-0.134,9.852
56.692,-3.577,-2.781,0.048,-0.037,0.070,-0.226,-0.187,0.258,-0.129,9.893,0.269,-0.123,9.857,0.267,-0.131,9.853
56.702,1.061,1.857,-1.416,1.195,0.682,0.119,0.030,0.287,-0.093,9.793,0.272,-0.122,9.849,0.268,-0.130,9.853
56.713,-2.967,-0.828,-4.956,0.335,0.042,0.339,0.089,0.251,-0.186,9.843,0.270,-0.126,9.853,0.269,-0.128,9.852
56.725,6.432,-2.537,0.658,0.530,-0.190,0.323,0.019,0.258,-0.158,9.865,0.266,-0.133,9.857,0.268,-0.128,9.853
56.736,1.183,-0.828,-6.909,1.108,-1.079,0.500,-0.240,0.251,-0.129,9.857,0.260,-0.138,9.852,0.267,-0.130,9.853
56.748,0.450,6.373,8.105,1.284,-0.495,0.792,-0.545,0.244,-0.129,9.814,0.256,-0.133,9.850,0.264,-0.132,9.853
56.758,-3.943,-1.316,7.250,0.969,0.108,0.957,-0.347,0.294,-0.165,9.836,0.263,-0.137,9.850,0.264,-0.132,9.852
56.769,0.450,4.664,0.781,0.768,1.227,0.916,-0.009,0.244,-0.129,9.922,0.262,-0.134,9.860,0.264,-0.133,9.853
56.780,-2.967,1.734,-7.153,-0.163,1.708,0.631,0.497,0.265,-0.114,9.836,0.264,-0.129,9.853,0.264,-0.132,9.853
56.791,-3.699,1.612,3.222,-0.318,1.968,0.383,0.886,0.280,-0.129,9.879,0.269,-0.131,9.858,0.264,-0.132,9.854
56.803,-2.478,-2.415,-4.101,-0.127,0.688,0.220,0.975,0.273,-0.158,9.865,0.267,-0.133,9.858,0.265,-0.132,9.854
56.814,0.328,-0.706,7.495,-0.283,0.919,0.085,1.001,0.316,-0.136,9.814,0.270,-0.135,9.854,0.266,-0.132,9.855
