R
Px,I,D,Py,I,D,Pz,I,D,FFrx,y,FFdrx,y,satI,satPID,DTermC
155,25,1500,180,25,1800,600,200,0,0,0,0,7,75,10
sysTime,GRawX,GRawY,GRawZ,GPT1X,GPT1Y,GPT2X,GPT2Y,ARawX,ARawY,ARawZ,APT1X,APT1Y,APT1Z,APT2X,APT2Y,APT2Z
95.938,-1.380,-0.340,6.274,-0.440,0.918,-0.646,0.218,0.043,0.208,9.901,0.065,0.179,9.859,0.065,0.178,9.860
95.950,2.037,0.514,-1.416,-0.078,0.432,-0.450,0.322,0.107,0.222,9.836,0.070,0.179,9.860,0.065,0.178,9.860
95.961,-1.502,-0.828,8.715,0.141,-0.111,-0.285,0.208,0.079,0.172,9.901,0.069,0.178,9.867,0.066,0.178,9.861
95.971,2.648,0.392,-5.566,0.284,0.212,-0.136,0.230,0.050,0.114,9.836,0.072,0.177,9.866,0.067,0.179,9.862
95.983,1.183,4.786,5.786,-0.349,0.696,-0.112,0.291,0.035,0.158,9.901,0.068,0.183,9.871,0.068,0.180,9.864
95.994,-1.624,0.270,-0.073,0.401,0.777,0.050,0.457,0.136,0.179,9.850,0.071,0.186,9.865,0.068,0.182,9.865
96.006,0.572,0.147,-0.928,-0.288,-0.115,-0.117,0.253,0.100,0.201,9.829,0.071,0.184,9.854,0.068,0.182,9.863
96.017,-0.037,-4.368,3.222,0.031,0.062,-0.106,0.274,0.107,0.136,9.836,0.071,0.178,9.854,0.069,0.182,9.861
96.027,-2.234,1.979,-3.857,0.496,-0.256,0.093,0.054,0.071,0.222,9.850,0.074,0.186,9.857,0.069,0.182,9.860
96.039,-0.403,-2.171,-4.101,-0.682,0.078,-0.080,0.010,0.093,0.172,9.879,0.072,0.183,9.848,0.070,0.183,9.858
96.051,3.014,1.979,3.344,0.185,0.690,-0.138,0.222,0.064,0.158,9.836,0.068,0.178,9.853,0.069,0.182,9.856
96.062,-1.136,6.617,4.687,-0.572,0.725,-0.277,0.339,0.107,0.201,9.821,0.072,0.178,9.856,0.069,0.181,9.856
96.074,1.183,5.885,3.100,0.103,0.893,-0.225,0.367,0.057,0.186,9.872,0.073,0.178,9.860,0.071,0.180,9.857
96.084,2.892,1.246,-7.764,0.579,0.666,-0.071,0.438,0.064,0.114,9.951,0.071,0.176,9.870,0.071,0.180,9.858
96.095,0.328,0.636,-5.810,0.763,-0.603,0.238,0.206,0.064,0.208,9.836,0.070,0.179,9.869,0.070,0.179,9.861
96.107,-3.943,-6.444,-2.637,0.203,-1.212,0.345,-0.211,0.071,0.186,9.865,0.070,0.174,9.862,0.070,0.178,9.862
96.118,-2.723,1.857,0.658,-0.284,-0.390,0.289,-0.416,0.050,0.165,9.886,0.067,0.175,9.869,0.070,0.177,9.863
96.130,2.648,-2.049,3.466,0.164,-0.066,0.186,-0.222,0.064,0.222,9.829,0.065,0.181,9.864,0.068,0.177,9.864
96.140,-2.723,-3.636,-5.200,0.593,0.271,0.303,-0.006,0.035,0.150,9.865,0.061,0.177,9.865,0.067,0.178,9.865
96.151,-2.234,2.589,2.001,-0.495,-0.013,0.145,-0.108,0.093,0.222,9.872,0.063,0.178,9.868,0.066,0.177,9.865
96.163,4.967,0.392,-10.327,0.045,-0.065,0.004,0.009,0.093,0.150,9.857,0.068,0.180,9.868,0.066,0.178,9.866
96.174,4.845,0.514,-9.717,0.465,0.035,0.034,0.022,0.035,0.165,9.893,0.063,0.180,9.875,0.066,0.179,9.868
96.186,-3.699,-2.293,7.495,-0.442,-0.235,0.044,0.011,0.114,0.222,9.829,0.066,0.181,9.866,0.065,0.179,9.868
96.196,-1.624,-1.561,-2.514,-1.125,-0.565,-0.249,-0.114,0.122,0.186,9.886,0.072,0.178,9.869,0.066,0.179,9.868
96.208,-1.136,0.270,1.513,-1.859,-0.553,-0.811,-0.350,0.086,0.237,9.865,0.071,0.183,9.866,0.067,0.179,9.868
96.219,0.084,-5.467,4.321,-1.336,-0.301,-1.097,-0.265,0.071,0.179,9.836,0.072,0.188,9.865,0.069,0.181,9.867
96.231,-2.356,0.880,-3.491,-0.665,-0.599,-0.874,-0.334,0.057,0.179,9.857,0.067,0.188,9.871,0.069,0.183,9.868
96.241,-0.159,0.880,-0.073,-0.430,0.338,-0.744,-0.139,0.079,0.158,9.872,0.067,0.185,9.869,0.068,0.184,9.868
96.252,-1.136,3.688,-3.369,0.406,0.298,-0.433,-0.145,0.064,0.179,9.908,0.060,0.185,9.860,0.066,0.184,9.866
96.264,1.427,-0.340,2.612,0.752,-0.447,-0.088,-0.150,0.064,0.179,9.879,0.061,0.184,9.853,0.065,0.184,9.863
96.275,-1.258,-2.903,-3.857,0.711,-0.397,0.305,-0.169,0.057,0.165,9.836,0.062,0.188,9.847,0.064,0.186,9.860
96.287,1.671,3.443,-1.782,0.804,0.240,0.470,-0.210,0.057,0.136,9.829,0.061,0.183,9.853,0.063,0.185,9.858
