R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,32.0,0.000100,0.003000,20,50,0,50,0,50,375,0,0,0.995
sysTime,GPT1X,GPT2X,aPT1R,aPT2R,aKFRawR,aKFPT10R,aKFPT11R,aCFRawR,aCFPT10R,aCFPT11R
143.968,-0.148,-0.017,-0.634,-0.629,-0.736,-0.727,-0.726,-0.670,-0.670,-0.669
143.978,-1.009,-0.408,-0.621,-0.628,-0.772,-0.764,-0.735,-0.703,-0.705,-0.676
143.989,0.692,-0.219,-0.613,-0.625,-0.749,-0.741,-0.736,-0.677,-0.680,-0.677
144.000,1.561,0.545,-0.622,-0.623,-0.728,-0.720,-0.723,-0.656,-0.658,-0.662
144.011,1.760,0.883,-0.621,-0.622,-0.706,-0.698,-0.708,-0.635,-0.636,-0.647
144.022,0.529,0.867,-0.635,-0.624,-0.723,-0.715,-0.697,-0.653,-0.653,-0.636
144.032,0.735,0.810,-0.611,-0.624,-0.706,-0.698,-0.688,-0.633,-0.636,-0.627
144.043,-0.580,0.203,-0.615,-0.623,-0.734,-0.727,-0.690,-0.662,-0.664,-0.630
144.054,-0.931,-0.040,-0.639,-0.623,-0.732,-0.724,-0.692,-0.662,-0.661,-0.632
144.065,0.081,-0.262,-0.639,-0.626,-0.736,-0.728,-0.700,-0.666,-0.665,-0.640
144.075,1.443,0.366,-0.634,-0.629,-0.691,-0.683,-0.689,-0.621,-0.621,-0.630
144.086,0.819,0.765,-0.609,-0.627,-0.694,-0.687,-0.676,-0.621,-0.625,-0.617
144.097,-0.433,0.426,-0.625,-0.626,-0.708,-0.701,-0.672,-0.638,-0.639,-0.615
144.108,1.435,0.580,-0.643,-0.627,-0.678,-0.670,-0.667,-0.611,-0.609,-0.611
144.118,-0.296,0.378,-0.626,-0.629,-0.699,-0.691,-0.662,-0.631,-0.631,-0.607
144.129,-0.069,0.288,-0.620,-0.628,-0.692,-0.684,-0.661,-0.623,-0.625,-0.606
