R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,64.0,0.000100,0.003000,-1550,50,1,50,1,50,375,0,0,0.995
sysTime,GPT1X,GPT2X,aPT1R,aPT2R,aKFRawR,aKFPT10R,aKFPT11R,aCFRawR,aCFPT10R,aCFPT11R
346.588,-0.681,-0.220,0.096,0.095,221.100,223.202,214.041,0.018,0.020,0.045
346.599,0.414,-0.316,0.080,0.095,220.580,222.677,213.516,0.033,0.040,0.042
346.610,-0.218,-0.165,0.086,0.094,220.035,222.126,212.999,0.025,0.031,0.045
346.620,-0.589,-0.489,0.091,0.093,219.485,221.571,212.482,0.004,0.008,0.037
346.631,-0.230,-0.615,0.101,0.094,218.939,221.019,211.962,-0.007,-0.007,0.030
346.642,0.494,-0.250,0.109,0.095,218.415,220.490,211.453,-0.000,-0.002,0.032
346.653,0.760,-0.053,0.109,0.096,217.898,219.967,210.948,0.009,0.007,0.037
346.664,1.311,0.338,0.113,0.098,217.392,219.456,210.452,0.027,0.024,0.046
346.674,0.122,0.498,0.110,0.099,216.863,218.922,209.961,0.016,0.014,0.057
346.685,-0.349,0.260,0.115,0.100,216.352,218.406,209.471,0.017,0.013,0.060
346.696,-1.330,-0.276,0.117,0.102,215.830,217.878,208.969,0.009,0.005,0.055
346.707,0.141,-0.353,0.115,0.104,215.342,217.386,208.470,0.033,0.030,0.051
346.718,-1.472,-0.681,0.117,0.105,214.814,216.852,207.974,0.013,0.009,0.046
346.729,-0.154,-0.831,0.114,0.105,214.311,216.344,207.474,0.016,0.013,0.036
346.739,-0.054,-0.309,0.121,0.107,213.815,215.843,206.992,0.025,0.019,0.041
346.750,-0.744,-0.430,0.119,0.108,213.299,215.322,206.507,0.008,0.004,0.038
346.761,0.545,-0.175,0.126,0.110,212.827,214.844,206.033,0.028,0.022,0.039
346.772,-0.800,0.084,0.113,0.111,212.331,214.344,205.561,0.025,0.023,0.048
346.783,0.535,-0.057,0.122,0.111,211.842,213.849,205.083,0.029,0.024,0.044
346.793,0.058,0.017,0.115,0.112,211.349,213.352,204.613,0.024,0.022,0.049
346.804,-0.167,-0.054,0.102,0.111,210.856,212.855,204.144,0.013,0.015,0.050
346.815,0.670,0.139,0.099,0.110,210.390,212.384,203.679,0.031,0.034,0.054
346.826,-0.648,-0.155,0.091,0.109,209.882,211.872,203.214,0.002,0.007,0.052
346.837,-0.584,-0.450,0.094,0.107,209.391,211.376,202.751,-0.016,-0.012,0.044
346.848,0.192,-0.071,0.096,0.106,208.930,210.909,202.294,-0.001,0.001,0.047
346.858,-0.786,0.041,0.097,0.105,208.461,210.436,201.842,0.002,0.005,0.052
346.869,-0.625,-0.437,0.105,0.105,207.974,209.944,201.379,-0.011,-0.011,0.043
346.880,0.048,-0.347,0.109,0.105,207.502,209.467,200.924,-0.013,-0.014,0.040
346.891,-0.707,-0.272,0.101,0.105,207.026,208.987,200.474,-0.024,-0.022,0.040
346.902,1.216,0.061,0.101,0.105,206.592,208.549,200.029,0.005,0.007,0.044
346.913,1.572,0.609,0.107,0.104,206.155,208.107,199.605,0.023,0.023,0.058
346.923,1.475,0.948,0.109,0.105,205.699,207.646,199.177,0.026,0.025,0.073
346.934,1.368,1.042,0.104,0.105,205.256,207.198,198.752,0.036,0.037,0.086
346.945,-0.595,0.512,0.090,0.104,204.766,206.705,198.318,-0.004,0.000,0.088
346.956,-0.479,-0.087,0.105,0.103,204.300,206.233,197.875,-0.015,-0.015,0.080
346.967,-0.728,-0.333,0.101,0.104,203.846,205.775,197.439,-0.022,-0.021,0.075
346.977,0.757,-0.096,0.096,0.103,203.429,205.354,197.015,-0.000,0.002,0.075
346.988,0.643,0.456,0.096,0.102,202.988,204.908,196.596,0.003,0.006,0.085
346.999,0.222,0.187,0.104,0.102,202.533,204.449,196.172,-0.008,-0.008,0.085
347.010,1.669,0.609,0.109,0.103,202.120,204.031,195.757,0.020,0.018,0.094
347.021,0.948,0.947,0.112,0.104,201.690,203.596,195.352,0.026,0.024,0.109
347.031,-0.499,0.413,0.109,0.104,201.222,203.125,194.934,-0.007,-0.008,0.109
347.042,0.555,0.180,0.113,0.105,200.805,202.703,194.517,0.008,0.006,0.107
