R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,32.0,0.000100,0.003000,20,50,1,50,1,50,375,0,0,0.995
sysTime,GPT1X,GPT2X,aPT1R,aPT2R,aKFRawR,aKFPT10R,aKFPT11R,aCFRawR,aCFPT10R,aCFPT11R
214.216,-1.361,-0.581,0.094,0.078,-0.077,-0.057,-0.004,-0.035,-0.037,0.009
214.227,-0.653,-0.665,0.082,0.080,-0.077,-0.057,-0.012,-0.034,-0.035,0.002
214.238,-0.700,-0.576,0.079,0.079,-0.090,-0.069,-0.017,-0.045,-0.045,-0.000
214.248,-0.271,-0.359,0.068,0.077,-0.084,-0.064,-0.019,-0.039,-0.037,-0.001
214.259,-0.779,-0.437,0.068,0.075,-0.090,-0.069,-0.022,-0.042,-0.040,-0.003
214.270,-1.728,-0.617,0.082,0.075,-0.094,-0.074,-0.027,-0.042,-0.043,-0.006
214.281,-1.489,-1.178,0.083,0.076,-0.120,-0.100,-0.046,-0.065,-0.066,-0.023
214.291,-1.060,-1.101,0.091,0.077,-0.111,-0.091,-0.055,-0.052,-0.055,-0.030
214.302,-0.356,-1.034,0.079,0.078,-0.116,-0.096,-0.064,-0.056,-0.056,-0.037
214.313,-1.501,-1.036,0.111,0.082,-0.143,-0.124,-0.072,-0.075,-0.080,-0.042
214.324,-1.415,-1.380,0.116,0.089,-0.162,-0.143,-0.089,-0.089,-0.094,-0.055
214.334,-0.470,-1.166,0.112,0.096,-0.169,-0.150,-0.099,-0.091,-0.096,-0.061
214.345,-0.167,-0.587,0.114,0.099,-0.166,-0.147,-0.098,-0.084,-0.089,-0.056
214.356,-0.255,-0.450,0.118,0.102,-0.162,-0.143,-0.098,-0.075,-0.081,-0.053
214.367,-2.264,-1.098,0.104,0.104,-0.219,-0.199,-0.113,-0.128,-0.131,-0.063
214.377,-4.034,-1.888,0.123,0.106,-0.262,-0.243,-0.137,-0.163,-0.169,-0.084
214.388,-3.049,-2.604,0.124,0.110,-0.288,-0.270,-0.174,-0.183,-0.189,-0.115
214.399,-2.502,-2.597,0.110,0.111,-0.300,-0.281,-0.199,-0.189,-0.192,-0.134
214.410,-0.197,-1.799,0.112,0.112,-0.273,-0.254,-0.210,-0.155,-0.159,-0.139
214.420,0.960,-0.575,0.120,0.113,-0.232,-0.214,-0.200,-0.109,-0.114,-0.124
214.431,1.002,0.153,0.111,0.113,-0.229,-0.211,-0.188,-0.102,-0.105,-0.107
214.442,-1.060,0.069,0.101,0.112,-0.236,-0.217,-0.180,-0.106,-0.108,-0.095
214.453,-0.168,-0.168,0.093,0.109,-0.226,-0.207,-0.183,-0.093,-0.093,-0.094
214.463,0.478,-0.002,0.092,0.107,-0.211,-0.192,-0.180,-0.076,-0.076,-0.087
214.474,-0.561,0.012,0.114,0.106,-0.216,-0.198,-0.175,-0.075,-0.078,-0.078
214.485,-0.508,-0.168,0.123,0.110,-0.206,-0.188,-0.175,-0.060,-0.065,-0.074
214.496,0.842,-0.002,0.121,0.112,-0.179,-0.161,-0.171,-0.030,-0.035,-0.067
214.506,0.871,0.275,0.104,0.112,-0.179,-0.161,-0.163,-0.031,-0.032,-0.055
214.517,-0.714,0.254,0.098,0.108,-0.199,-0.181,-0.156,-0.050,-0.050,-0.046
214.528,0.362,0.092,0.098,0.108,-0.191,-0.173,-0.157,-0.040,-0.040,-0.045
214.539,-0.380,0.056,0.112,0.107,-0.184,-0.166,-0.151,-0.029,-0.032,-0.037
214.549,-0.759,-0.424,0.106,0.108,-0.203,-0.185,-0.158,-0.046,-0.048,-0.041
214.560,-0.340,-0.250,0.114,0.107,-0.184,-0.166,-0.156,-0.024,-0.027,-0.037
214.571,-0.804,-0.387,0.088,0.106,-0.195,-0.177,-0.159,-0.038,-0.036,-0.038
214.582,-0.167,-0.342,0.087,0.102,-0.175,-0.157,-0.159,-0.017,-0.015,-0.036
214.592,0.071,-0.335,0.073,0.098,-0.166,-0.147,-0.159,-0.009,-0.005,-0.035
214.603,-0.989,-0.523,0.073,0.093,-0.188,-0.169,-0.162,-0.030,-0.027,-0.037
214.614,-1.517,-0.698,0.057,0.087,-0.195,-0.176,-0.169,-0.039,-0.033,-0.042
214.625,-0.930,-1.171,0.085,0.084,-0.215,-0.196,-0.185,-0.053,-0.052,-0.057
