R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
175,25,1900,200,25,2100,300,100,0,0,0,0,7,75,10,10.0,32.0,0.000,0.000,75.00
sysTime,GPT1X,GPT2X,aPT1R,aPT2R,aKFRawR,aKFPT10R,aKFPT20R,aKFPT11R,aKFPT21R,aKFPT22R
312.366,-0.118,0.078,-0.245,-0.228,0.703,0.594,0.634,0.838,0.878,1.251
312.376,0.132,-0.088,-0.248,-0.230,0.684,0.576,0.616,0.830,0.870,1.248
312.386,0.483,0.159,-0.225,-0.232,0.697,0.588,0.628,0.832,0.872,1.245
312.396,1.276,0.401,-0.219,-0.229,0.694,0.586,0.626,0.835,0.875,1.244
312.407,1.031,0.775,-0.204,-0.227,0.697,0.589,0.629,0.846,0.886,1.247
312.417,0.182,0.728,-0.209,-0.224,0.689,0.581,0.621,0.851,0.891,1.252
312.427,-0.509,0.327,-0.202,-0.220,0.680,0.572,0.612,0.847,0.886,1.255
312.438,-0.320,-0.042,-0.199,-0.217,0.675,0.567,0.607,0.837,0.877,1.253
312.448,0.011,-0.293,-0.225,-0.218,0.656,0.549,0.589,0.827,0.867,1.248
312.458,-0.054,-0.257,-0.226,-0.218,0.653,0.546,0.586,0.823,0.862,1.242
312.468,1.294,0.172,-0.203,-0.218,0.698,0.590,0.630,0.828,0.868,1.239
312.479,0.666,0.456,-0.209,-0.217,0.696,0.589,0.629,0.836,0.876,1.239
312.489,0.159,0.499,-0.218,-0.217,0.688,0.581,0.621,0.839,0.879,1.241
312.499,0.476,0.347,-0.219,-0.217,0.680,0.573,0.612,0.836,0.876,1.242
312.509,1.156,0.466,-0.215,-0.216,0.692,0.585,0.625,0.839,0.879,1.243
312.520,1.115,0.615,-0.211,-0.216,0.702,0.595,0.635,0.846,0.886,1.246
312.530,0.878,0.759,-0.218,-0.216,0.706,0.600,0.640,0.854,0.894,1.250
312.540,0.755,0.651,-0.206,-0.215,0.693,0.587,0.626,0.856,0.895,1.254
312.550,0.243,0.497,-0.203,-0.213,0.680,0.574,0.614,0.856,0.896,1.257
312.561,0.541,0.577,-0.208,-0.212,0.702,0.596,0.635,0.861,0.900,1.259
312.571,0.012,0.385,-0.191,-0.210,0.685,0.579,0.618,0.859,0.899,1.261
312.581,-0.272,0.193,-0.208,-0.209,0.679,0.573,0.612,0.856,0.895,1.261
312.591,0.417,0.214,-0.203,-0.208,0.693,0.588,0.627,0.855,0.894,1.260
312.602,0.626,0.349,-0.220,-0.208,0.693,0.588,0.627,0.856,0.896,1.259
312.612,-0.041,0.212,-0.230,-0.211,0.681,0.575,0.615,0.855,0.895,1.259
312.622,0.605,0.192,-0.209,-0.213,0.692,0.587,0.626,0.853,0.893,1.258
312.633,0.341,0.206,-0.225,-0.213,0.686,0.581,0.620,0.854,0.893,1.257
312.643,1.295,0.455,-0.222,-0.214,0.706,0.601,0.640,0.858,0.898,1.257
312.653,1.513,0.822,-0.262,-0.218,0.722,0.618,0.657,0.870,0.909,1.261
312.663,-0.179,0.734,-0.244,-0.222,0.697,0.593,0.632,0.875,0.915,1.266
312.673,-0.295,0.256,-0.235,-0.224,0.682,0.577,0.616,0.867,0.906,1.268
312.684,-1.733,-0.277,-0.221,-0.224,0.640,0.536,0.575,0.854,0.894,1.265
312.694,0.625,-0.281,-0.214,-0.223,0.678,0.573,0.613,0.845,0.885,1.258
312.704,0.201,0.054,-0.209,-0.222,0.672,0.567,0.607,0.849,0.888,1.254
312.715,-0.053,0.083,-0.219,-0.221,0.662,0.558,0.597,0.847,0.886,1.252
312.725,-0.204,-0.025,-0.221,-0.222,0.659,0.555,0.595,0.843,0.882,1.249
312.735,-0.638,0.030,-0.244,-0.225,0.678,0.574,0.613,0.844,0.883,1.247
312.745,-0.725,-0.329,-0.243,-0.228,0.666,0.563,0.602,0.832,0.872,1.243
312.755,-0.907,-0.401,-0.230,-0.228,0.666,0.563,0.602,0.825,0.864,1.236
312.766,-1.588,-0.649,-0.220,-0.227,0.649,0.545,0.585,0.813,0.852,1.228
312.776,-1.190,-0.909,-0.226,-0.227,0.632,0.529,0.568,0.795,0.834,1.216
312.786,-0.882,-0.926,-0.231,-0.227,0.620,0.517,0.557,0.781,0.820,1.203
312.797,-1.689,-1.078,-0.219,-0.227,0.590,0.487,0.527,0.766,0.805,1.190
312.807,-1.541,-1.217,-0.217,-0.225,0.577,0.475,0.514,0.748,0.787,1.175
312.817,-1.503,-1.303,-0.196,-0.222,0.571,0.468,0.507,0.731,0.770,1.159
312.827,-1.576,-1.317,-0.195,-0.218,0.561,0.458,0.497,0.715,0.754,1.143
312.838,-0.674,-1.031,-0.195,-0.214,0.582,0.479,0.518,0.706,0.745,1.128
312.848,0.436,-0.537,-0.214,-0.213,0.612,0.509,0.548,0.704,0.744,1.117
312.858,0.562,-0.028,-0.190,-0.211,0.626,0.523,0.562,0.710,0.749,1.111
312.868,-0.194,-0.035,-0.203,-0.210,0.609,0.506,0.545,0.708,0.747,1.108
312.879,0.751,0.188,-0.201,-0.209,0.631,0.529,0.568,0.709,0.748,1.106
312.889,-1.092,-0.092,-0.201,-0.207,0.580,0.479,0.518,0.703,0.742,1.103
312.899,-0.939,-0.324,-0.186,-0.205,0.583,0.481,0.520,0.693,0.732,1.098
312.909,-0.226,-0.400,-0.190,-0.202,0.592,0.490,0.529,0.685,0.724,1.092
312.919,-0.040,-0.211,-0.166,-0.198,0.609,0.507,0.546,0.684,0.723,1.086
312.930,0.160,-0.133,-0.188,-0.196,0.601,0.499,0.538,0.680,0.719,1.081
312.940,0.319,-0.010,-0.171,-0.194,0.590,0.489,0.527,0.678,0.717,1.077
312.950,0.873,0.218,-0.162,-0.189,0.602,0.501,0.540,0.681,0.720,1.075
312.961,0.043,0.075,-0.164,-0.186,0.568,0.467,0.505,0.677,0.716,1.074
312.971,0.550,0.081,-0.152,-0.182,0.565,0.464,0.503,0.674,0.713,1.071
312.981,0.105,0.085,-0.154,-0.178,0.549,0.448,0.487,0.673,0.711,1.069
312.991,0.390,0.145,-0.174,-0.176,0.551,0.450,0.489,0.672,0.710,1.067
313.002,0.499,0.286,-0.163,-0.175,0.563,0.463,0.501,0.675,0.714,1.067
313.012,0.708,0.371,-0.182,-0.175,0.559,0.458,0.497,0.676,0.715,1.067
313.022,0.994,0.590,-0.184,-0.177,0.562,0.462,0.500,0.682,0.720,1.068
313.032,0.462,0.538,-0.168,-0.176,0.551,0.451,0.489,0.685,0.723,1.071
313.042,1.059,0.632,-0.185,-0.176,0.561,0.461,0.500,0.689,0.727,1.074
313.053,0.925,0.706,-0.219,-0.181,0.559,0.460,0.498,0.694,0.733,1.078
313.063,0.528,0.547,-0.229,-0.187,0.545,0.446,0.484,0.695,0.734,1.081
313.073,0.479,0.535,-0.233,-0.193,0.550,0.450,0.489,0.698,0.737,1.084
313.084,-0.174,0.370,-0.245,-0.200,0.540,0.441,0.479,0.698,0.736,1.086
313.095,0.495,0.363,-0.228,-0.205,0.562,0.463,0.502,0.698,0.737,1.087
313.106,-0.914,0.161,-0.221,-0.207,0.518,0.419,0.458,0.694,0.732,1.087
313.117,0.400,0.121,-0.222,-0.209,0.556,0.457,0.495,0.690,0.729,1.085
313.128,-0.648,0.009,-0.222,-0.210,0.528,0.429,0.468,0.687,0.725,1.083
313.138,-1.196,-0.246,-0.227,-0.212,0.511,0.412,0.451,0.676,0.715,1.079
313.150,-0.738,-0.337,-0.230,-0.214,0.524,0.425,0.464,0.667,0.706,1.073
313.160,0.044,-0.205,-0.249,-0.218,0.543,0.444,0.483,0.664,0.702,1.067
