R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
175,25,1900,200,25,2100,300,100,0,0,0,0,7,75,10,10.0,32.0,0.000,0.000,75.00
sysTime,GPT1X,GPT2X,aPT1R,aPT2R,aKFRawR,aKFPT10R,aKFPT20R,aKFPT11R,aKFPT21R,aKFPT22R
286.668,0.374,-0.634,0.552,0.538,0.964,0.836,0.808,0.783,0.755,1.008
286.678,1.557,0.098,0.540,0.539,0.987,0.859,0.831,0.793,0.765,1.005
286.689,0.591,0.335,0.543,0.539,0.970,0.843,0.815,0.802,0.774,1.009
286.699,0.808,0.345,0.548,0.540,0.979,0.852,0.823,0.807,0.778,1.013
286.709,-0.079,0.288,0.562,0.542,0.953,0.826,0.798,0.809,0.781,1.017
286.720,-0.813,-0.029,0.549,0.544,0.932,0.805,0.777,0.804,0.776,1.019
286.730,1.025,0.110,0.575,0.548,0.971,0.844,0.816,0.806,0.778,1.019
286.740,0.927,0.537,0.590,0.552,0.989,0.862,0.834,0.819,0.791,1.023
286.750,0.048,0.349,0.595,0.557,0.966,0.839,0.811,0.821,0.793,1.029
286.760,-1.181,-0.065,0.597,0.562,0.934,0.808,0.780,0.815,0.787,1.031
286.771,-0.780,-0.228,0.615,0.569,0.943,0.816,0.788,0.810,0.782,1.030
286.781,-0.519,-0.347,0.606,0.575,0.936,0.810,0.782,0.803,0.775,1.027
286.791,0.051,-0.153,0.607,0.579,0.963,0.836,0.808,0.805,0.777,1.026
286.802,0.463,0.051,0.599,0.582,0.974,0.848,0.820,0.809,0.781,1.025
286.812,0.928,0.461,0.601,0.585,1.001,0.875,0.847,0.820,0.792,1.029
286.822,1.319,0.693,0.598,0.587,1.022,0.895,0.867,0.831,0.803,1.035
286.832,0.267,0.761,0.589,0.588,1.028,0.902,0.874,0.843,0.815,1.044
286.842,0.168,0.597,0.602,0.590,1.034,0.908,0.880,0.847,0.819,1.052
286.853,0.355,0.551,0.608,0.592,1.044,0.918,0.890,0.852,0.824,1.058
286.863,0.782,0.564,0.606,0.594,1.045,0.919,0.891,0.856,0.828,1.064
286.873,0.609,0.532,0.593,0.595,1.041,0.916,0.888,0.861,0.833,1.071
286.884,0.313,0.381,0.589,0.595,1.038,0.913,0.885,0.864,0.836,1.076
286.894,0.454,0.382,0.594,0.595,1.043,0.918,0.890,0.868,0.840,1.080
286.904,-0.061,0.264,0.589,0.594,1.017,0.892,0.864,0.868,0.840,1.084
286.914,0.420,0.291,0.613,0.596,1.041,0.916,0.888,0.872,0.844,1.087
286.924,0.674,0.482,0.614,0.598,1.062,0.937,0.909,0.880,0.852,1.092
286.935,0.444,0.366,0.604,0.600,1.043,0.919,0.891,0.882,0.854,1.097
286.945,-0.119,0.353,0.589,0.599,1.036,0.911,0.883,0.886,0.858,1.101
286.955,0.192,0.268,0.592,0.597,1.035,0.911,0.883,0.886,0.858,1.105
286.966,0.374,0.393,0.594,0.596,1.057,0.933,0.905,0.893,0.865,1.109
286.976,1.421,0.523,0.571,0.593,1.078,0.954,0.926,0.899,0.871,1.114
286.986,1.049,0.797,0.569,0.591,1.094,0.971,0.943,0.913,0.886,1.122
286.996,1.448,0.933,0.586,0.590,1.118,0.994,0.967,0.926,0.898,1.131
287.006,1.939,1.162,0.581,0.588,1.135,1.012,0.984,0.941,0.913,1.142
287.017,1.097,1.303,0.562,0.586,1.141,1.017,0.990,0.958,0.931,1.156
287.027,0.514,1.136,0.576,0.583,1.139,1.016,0.988,0.968,0.940,1.169
287.037,0.190,0.687,0.583,0.583,1.122,0.998,0.971,0.968,0.940,1.179
287.048,0.665,0.654,0.568,0.582,1.136,1.013,0.986,0.973,0.945,1.186
287.058,0.216,0.528,0.555,0.579,1.126,1.004,0.976,0.977,0.949,1.193
287.068,0.903,0.642,0.564,0.576,1.155,1.032,1.005,0.985,0.957,1.199
287.078,0.887,0.675,0.589,0.576,1.167,1.044,1.016,0.993,0.966,1.206
287.089,1.078,0.754,0.590,0.577,1.166,1.043,1.016,1.001,0.974,1.214
287.099,0.868,0.876,0.588,0.579,1.181,1.059,1.031,1.013,0.986,1.223
287.109,0.797,0.871,0.568,0.579,1.191,1.069,1.041,1.022,0.995,1.233
287.120,1.267,0.840,0.589,0.579,1.205,1.083,1.055,1.030,1.003,1.242
287.130,1.083,0.942,0.577,0.580,1.214,1.092,1.065,1.042,1.015,1.251
287.140,1.626,1.152,0.596,0.581,1.239,1.117,1.090,1.057,1.029,1.262
287.150,0.866,1.167,0.585,0.582,1.236,1.115,1.087,1.070,1.043,1.275
287.161,1.293,1.212,0.591,0.583,1.245,1.124,1.096,1.081,1.054,1.287
287.171,0.646,1.063,0.605,0.585,1.235,1.113,1.086,1.090,1.063,1.299
287.181,0.981,1.119,0.603,0.588,1.262,1.141,1.114,1.102,1.075,1.311
287.192,0.591,0.994,0.622,0.591,1.264,1.143,1.115,1.111,1.084,1.323
