R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
175,25,1900,200,25,2100,0,0,0,0,0,0,7,75,10,10.0,32.0,0.000001,0.000001,20.00
sysTime,GPT1X,GPT2X,aPT1R,aPT2R,aKFRawR,aKFPT10R,aKFPT20R,aKFPT11R,aKFPT21R,aKFPT22R
238.759,4.515,4.785,2.559,3.106,48.211,48.021,47.813,47.976,47.768,47.694
238.770,5.341,5.041,2.500,3.025,48.245,48.056,47.849,47.983,47.776,47.697
238.780,5.153,5.139,2.432,2.947,48.252,48.063,47.856,47.990,47.783,47.702
238.791,4.111,4.806,2.372,2.870,48.232,48.044,47.838,47.988,47.781,47.707
238.801,3.759,4.584,2.336,2.798,48.239,48.051,47.845,47.984,47.778,47.707
238.812,3.228,4.178,2.319,2.731,48.224,48.037,47.831,47.973,47.767,47.704
238.823,3.000,3.854,2.297,2.672,48.209,48.022,47.817,47.958,47.753,47.697
238.833,2.950,3.528,2.242,2.614,48.179,47.992,47.788,47.938,47.734,47.686
238.844,1.591,2.933,2.161,2.556,48.105,47.918,47.714,47.909,47.705,47.670
238.854,0.168,2.055,2.131,2.496,48.030,47.844,47.640,47.867,47.664,47.647
238.865,0.631,1.534,2.132,2.444,47.998,47.812,47.609,47.824,47.621,47.616
238.875,1.042,1.155,2.171,2.402,47.948,47.762,47.559,47.778,47.575,47.580
238.886,0.720,0.972,2.275,2.378,47.889,47.703,47.500,47.735,47.532,47.541
238.897,0.497,0.742,2.385,2.373,47.829,47.642,47.440,47.688,47.486,47.500
238.907,0.633,0.702,2.551,2.389,47.786,47.599,47.396,47.644,47.442,47.458
238.918,0.446,0.686,2.728,2.427,47.755,47.567,47.365,47.603,47.401,47.416
238.928,0.703,0.644,2.905,2.486,47.717,47.528,47.325,47.559,47.357,47.373
238.939,2.789,1.211,3.012,2.556,47.732,47.543,47.340,47.530,47.327,47.333
238.949,3.551,2.058,3.114,2.630,47.744,47.554,47.350,47.516,47.313,47.301
238.960,3.060,2.417,3.159,2.704,47.708,47.518,47.314,47.499,47.295,47.275
238.971,3.036,2.623,3.181,2.771,47.678,47.487,47.284,47.480,47.276,47.252
238.981,2.565,2.713,3.208,2.833,47.657,47.467,47.263,47.462,47.258,47.231
238.992,1.263,2.405,3.246,2.890,47.605,47.414,47.210,47.435,47.230,47.209
239.002,1.336,2.060,3.332,2.948,47.573,47.382,47.178,47.401,47.196,47.184
239.013,1.640,1.783,3.400,3.009,47.537,47.346,47.141,47.365,47.160,47.154
239.023,1.996,1.780,3.475,3.072,47.503,47.312,47.107,47.333,47.128,47.123
239.034,2.846,2.055,3.539,3.135,47.498,47.306,47.101,47.310,47.105,47.094
239.045,3.267,2.376,3.603,3.200,47.483,47.291,47.085,47.291,47.085,47.069
239.055,3.468,2.696,3.656,3.262,47.472,47.280,47.074,47.275,47.070,47.046
239.066,3.427,3.010,3.706,3.322,47.457,47.265,47.059,47.264,47.058,47.027
239.076,4.148,3.291,3.711,3.379,47.453,47.261,47.055,47.253,47.047,47.012
239.087,3.285,3.500,3.753,3.430,47.441,47.249,47.042,47.247,47.040,47.000
239.097,2.333,3.271,3.840,3.484,47.399,47.207,47.000,47.229,47.022,46.986
239.108,1.244,2.598,3.956,3.545,47.338,47.145,46.938,47.197,46.990,46.968
239.119,0.181,1.903,4.007,3.608,47.275,47.082,46.875,47.157,46.950,46.944
239.129,1.584,1.817,4.064,3.670,47.278,47.085,46.878,47.123,46.916,46.914
239.140,1.523,1.730,4.098,3.729,47.244,47.051,46.844,47.092,46.884,46.884
239.150,1.351,1.724,4.068,3.779,47.219,47.026,46.819,47.062,46.854,46.853
239.161,0.924,1.456,4.070,3.821,47.171,46.978,46.770,47.024,46.816,46.822
239.171,-0.681,0.776,4.065,3.855,47.086,46.893,46.685,46.975,46.767,46.785
239.182,-0.335,0.295,4.110,3.888,47.037,46.844,46.636,46.920,46.712,46.742
239.193,-0.344,0.000,4.213,3.929,46.976,46.782,46.574,46.866,46.658,46.694
239.203,0.025,0.009,4.322,3.979,46.936,46.742,46.534,46.818,46.609,46.646
239.214,0.546,0.125,4.408,4.036,46.908,46.713,46.505,46.772,46.564,46.598
239.224,1.086,0.387,4.439,4.092,46.874,46.679,46.471,46.731,46.523,46.552
239.235,3.033,1.191,4.469,4.144,46.905,46.710,46.502,46.709,46.500,46.512
239.245,4.254,2.175,4.437,4.188,46.916,46.722,46.513,46.698,46.489,46.481
239.256,4.729,3.102,4.434,4.223,46.921,46.727,46.518,46.697,46.488,46.461
239.267,6.954,4.304,4.380,4.249,46.985,46.791,46.582,46.713,46.504,46.452
239.277,6.839,5.454,4.277,4.259,47.019,46.826,46.617,46.740,46.531,46.455
239.288,6.207,5.879,4.152,4.250,47.046,46.854,46.645,46.764,46.556,46.468
239.299,4.278,5.588,4.114,4.232,47.017,46.826,46.617,46.773,46.565,46.482
239.310,3.234,4.820,4.119,4.215,46.987,46.796,46.587,46.765,46.556,46.490
239.320,2.931,4.122,4.144,4.202,46.956,46.765,46.557,46.747,46.539,46.488
239.331,1.999,3.543,4.209,4.200,46.925,46.733,46.525,46.727,46.519,46.481
239.341,3.025,3.198,4.278,4.207,46.916,46.724,46.516,46.705,46.497,46.468
239.352,2.907,3.030,4.315,4.220,46.886,46.694,46.486,46.685,46.477,46.451
239.363,2.321,2.844,4.390,4.242,46.855,46.663,46.455,46.664,46.456,46.434
239.373,2.641,2.738,4.389,4.263,46.842,46.650,46.442,46.643,46.435,46.416
239.384,1.773,2.419,4.362,4.279,46.800,46.608,46.400,46.616,46.408,46.395
239.395,1.255,1.965,4.366,4.291,46.761,46.569,46.361,46.583,46.375,46.370
239.405,0.373,1.464,4.379,4.304,46.694,46.502,46.294,46.541,46.333,46.340
239.416,1.509,1.534,4.417,4.317,46.687,46.495,46.287,46.508,46.300,46.307
239.426,2.861,1.921,4.509,4.340,46.696,46.504,46.296,46.484,46.276,46.276
239.437,3.109,2.403,4.574,4.370,46.692,46.499,46.292,46.470,46.262,46.251
239.448,3.044,2.589,4.590,4.401,46.667,46.474,46.266,46.452,46.244,46.229
