R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
175,25,1900,200,25,2100,300,100,0,0,0,0,7,75,10,10.0,32.0,0.000,0.000,75.00
sysTime,GPT1X,GPT2X,aPT1R,aPT2R,aKFRawR,aKFPT10R,aKFPT20R,aKFPT11R,aKFPT21R,aKFPT22R
247.204,0.721,1.418,-1.218,-1.196,-1.606,-1.835,-1.853,-1.433,-1.451,-1.430
247.214,-0.090,0.977,-1.223,-1.199,-1.623,-1.853,-1.870,-1.431,-1.449,-1.419
247.225,-0.357,0.525,-1.225,-1.203,-1.637,-1.867,-1.884,-1.435,-1.452,-1.413
247.235,-0.724,0.176,-1.211,-1.205,-1.643,-1.872,-1.890,-1.439,-1.457,-1.411
247.245,0.378,0.239,-1.208,-1.206,-1.610,-1.839,-1.857,-1.438,-1.456,-1.410
247.256,-0.494,0.053,-1.214,-1.206,-1.630,-1.859,-1.876,-1.441,-1.458,-1.410
247.266,-0.056,-0.104,-1.217,-1.208,-1.620,-1.848,-1.866,-1.445,-1.463,-1.411
247.276,-0.483,-0.176,-1.201,-1.208,-1.620,-1.849,-1.867,-1.448,-1.466,-1.414
247.287,-0.560,-0.338,-1.206,-1.207,-1.638,-1.866,-1.884,-1.456,-1.474,-1.418
247.297,-0.300,-0.288,-1.218,-1.208,-1.628,-1.856,-1.874,-1.459,-1.477,-1.422
247.307,0.627,-0.203,-1.207,-1.207,-1.619,-1.848,-1.865,-1.462,-1.480,-1.427
247.318,0.202,0.046,-1.236,-1.210,-1.615,-1.843,-1.861,-1.458,-1.475,-1.428
247.328,-0.482,-0.023,-1.224,-1.213,-1.623,-1.851,-1.869,-1.459,-1.477,-1.429
247.338,-0.717,-0.319,-1.216,-1.213,-1.639,-1.867,-1.884,-1.468,-1.486,-1.432
247.348,-0.839,-0.589,-1.204,-1.212,-1.663,-1.891,-1.908,-1.480,-1.498,-1.439
247.359,-0.867,-0.658,-1.199,-1.211,-1.665,-1.893,-1.910,-1.489,-1.506,-1.446
247.369,0.040,-0.586,-1.188,-1.208,-1.663,-1.890,-1.908,-1.497,-1.514,-1.455
247.380,1.437,-0.034,-1.158,-1.203,-1.633,-1.861,-1.879,-1.491,-1.509,-1.459
247.390,0.608,0.389,-1.163,-1.197,-1.644,-1.872,-1.889,-1.481,-1.499,-1.459
247.400,0.435,0.428,-1.165,-1.192,-1.648,-1.875,-1.893,-1.478,-1.495,-1.456
247.410,0.717,0.468,-1.171,-1.189,-1.647,-1.874,-1.891,-1.474,-1.492,-1.453
247.421,-0.489,0.201,-1.168,-1.186,-1.685,-1.912,-1.930,-1.477,-1.495,-1.450
247.431,-1.154,-0.150,-1.183,-1.185,-1.707,-1.934,-1.951,-1.485,-1.503,-1.451
247.441,-0.269,-0.361,-1.184,-1.185,-1.709,-1.936,-1.954,-1.496,-1.514,-1.456
247.452,0.099,-0.151,-1.180,-1.184,-1.688,-1.915,-1.932,-1.495,-1.513,-1.460
247.462,0.076,-0.002,-1.185,-1.185,-1.689,-1.915,-1.933,-1.494,-1.512,-1.462
