R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
175,25,1900,200,25,2100,300,100,0,0,0,0,7,75,10,10.0,32.0,0.000,0.000,100.00
sysTime,GPT1X,GPT2X,aPT1R,aPT2R,aKFRawR,aKFPT10R,aKFPT20R,aKFPT11R,aKFPT21R,aKFPT22R
370.326,0.258,0.233,-0.285,-0.284,-1.764,-1.729,-1.736,-2.495,-2.503,-2.765
370.336,-0.176,0.099,-0.283,-0.285,-1.780,-1.745,-1.753,-2.497,-2.505,-2.764
370.346,-1.292,-0.312,-0.273,-0.284,-1.816,-1.781,-1.789,-2.507,-2.515,-2.766
370.356,-0.497,-0.520,-0.300,-0.284,-1.826,-1.791,-1.799,-2.520,-2.527,-2.773
370.367,0.179,-0.305,-0.287,-0.285,-1.807,-1.772,-1.780,-2.521,-2.529,-2.778
370.377,0.242,-0.105,-0.301,-0.287,-1.805,-1.770,-1.778,-2.520,-2.528,-2.781
370.387,0.991,0.149,-0.306,-0.290,-1.790,-1.755,-1.763,-2.516,-2.524,-2.782
370.398,0.617,0.484,-0.304,-0.292,-1.777,-1.742,-1.749,-2.506,-2.513,-2.780
370.408,-0.476,0.194,-0.297,-0.292,-1.809,-1.774,-1.782,-2.509,-2.516,-2.777
370.418,-0.853,-0.234,-0.277,-0.290,-1.841,-1.806,-1.814,-2.520,-2.528,-2.779
370.429,0.145,-0.272,-0.275,-0.288,-1.826,-1.791,-1.799,-2.526,-2.533,-2.783
370.439,-1.340,-0.528,-0.275,-0.286,-1.867,-1.832,-1.839,-2.534,-2.542,-2.788
370.449,-0.260,-0.542,-0.282,-0.285,-1.854,-1.819,-1.827,-2.543,-2.551,-2.795
370.460,1.103,-0.122,-0.306,-0.287,-1.823,-1.788,-1.795,-2.540,-2.548,-2.800
370.470,1.721,0.495,-0.297,-0.288,-1.792,-1.757,-1.765,-2.526,-2.534,-2.799
370.480,1.754,0.818,-0.307,-0.291,-1.781,-1.746,-1.753,-2.513,-2.521,-2.793
370.490,0.957,0.939,-0.290,-0.291,-1.782,-1.747,-1.754,-2.501,-2.508,-2.785
370.501,1.364,0.905,-0.298,-0.292,-1.778,-1.743,-1.751,-2.494,-2.502,-2.777
370.511,2.108,1.196,-0.311,-0.294,-1.758,-1.723,-1.730,-2.480,-2.487,-2.768
370.521,0.867,1.188,-0.315,-0.297,-1.769,-1.734,-1.742,-2.467,-2.474,-2.756
370.532,2.188,1.331,-0.319,-0.300,-1.731,-1.696,-1.703,-2.453,-2.461,-2.745
370.542,1.218,1.345,-0.307,-0.302,-1.737,-1.702,-1.710,-2.439,-2.447,-2.732
370.552,-0.176,0.882,-0.307,-0.303,-1.764,-1.729,-1.737,-2.437,-2.444,-2.721
