R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
175,25,1900,200,25,2100,300,100,0,0,0,0,7,75,10,10.0,32.0,0.000,0.000,75.00
sysTime,GPT1X,GPT2X,aPT1R,aPT2R,aKFRawR,aKFPT10R,aKFPT20R,aKFPT11R,aKFPT21R,aKFPT22R
141.404,0.310,0.254,0.066,0.101,-0.688,-0.580,-0.588,-0.483,-0.491,-0.474
141.415,0.100,0.136,0.236,0.105,-0.698,-0.591,-0.598,-0.484,-0.492,-0.473
141.425,-0.516,0.015,0.127,0.117,-0.718,-0.610,-0.618,-0.487,-0.495,-0.473
141.436,-1.170,-0.273,0.212,0.127,-0.739,-0.631,-0.639,-0.496,-0.504,-0.475
141.447,-0.245,-0.410,0.293,0.141,-0.718,-0.611,-0.619,-0.505,-0.513,-0.480
141.458,0.078,-0.364,0.221,0.158,-0.724,-0.617,-0.625,-0.510,-0.518,-0.486
141.469,0.191,-0.107,0.195,0.164,-0.715,-0.607,-0.615,-0.506,-0.514,-0.489
141.480,0.229,0.061,0.127,0.156,-0.711,-0.604,-0.612,-0.503,-0.511,-0.490
141.491,-0.047,0.074,0.129,0.146,-0.717,-0.610,-0.618,-0.502,-0.510,-0.490
141.502,1.050,0.190,0.213,0.152,-0.691,-0.584,-0.592,-0.499,-0.507,-0.490
141.513,0.164,0.293,0.200,0.149,-0.713,-0.607,-0.615,-0.494,-0.502,-0.488
141.524,-0.563,0.025,0.219,0.156,-0.745,-0.638,-0.646,-0.500,-0.508,-0.487
141.535,-1.246,-0.261,0.237,0.171,-0.773,-0.666,-0.674,-0.509,-0.518,-0.489
141.546,-0.725,-0.498,0.033,0.158,-0.771,-0.664,-0.672,-0.522,-0.530,-0.495
141.557,0.374,-0.364,0.126,0.154,-0.753,-0.646,-0.654,-0.525,-0.533,-0.501
141.567,0.659,0.000,0.099,0.150,-0.738,-0.631,-0.639,-0.518,-0.526,-0.503
141.578,1.422,0.464,0.151,0.156,-0.697,-0.590,-0.598,-0.504,-0.512,-0.502
141.589,1.355,0.770,0.219,0.164,-0.671,-0.564,-0.573,-0.488,-0.496,-0.495
141.600,0.303,0.721,0.108,0.165,-0.692,-0.586,-0.594,-0.480,-0.488,-0.488
141.611,1.692,0.891,0.086,0.161,-0.639,-0.532,-0.540,-0.468,-0.476,-0.480
141.622,1.338,1.208,0.141,0.148,-0.619,-0.513,-0.521,-0.448,-0.456,-0.469
141.633,0.801,1.121,0.044,0.134,-0.628,-0.521,-0.529,-0.438,-0.446,-0.457
141.644,-0.703,0.556,0.274,0.139,-0.684,-0.578,-0.586,-0.444,-0.452,-0.449
141.655,-1.151,-0.011,0.162,0.145,-0.716,-0.610,-0.618,-0.458,-0.466,-0.447
141.666,-0.091,-0.169,0.138,0.151,-0.696,-0.590,-0.598,-0.466,-0.474,-0.450
141.677,0.193,-0.108,0.310,0.160,-0.689,-0.584,-0.592,-0.467,-0.475,-0.452
141.688,-0.640,-0.395,0.231,0.182,-0.747,-0.642,-0.650,-0.478,-0.487,-0.456
141.699,-0.422,-0.365,0.291,0.189,-0.742,-0.637,-0.645,-0.483,-0.491,-0.461
141.709,-0.833,-0.359,0.279,0.210,-0.750,-0.644,-0.653,-0.487,-0.495,-0.466
141.720,-0.437,-0.461,0.247,0.212,-0.747,-0.642,-0.650,-0.495,-0.503,-0.471
