R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
175,25,1900,200,25,2100,0,0,0,0,0,0,7,75,10,10.0,32.0,0.000,0.000,100.00
sysTime,GPT1X,GPT2X,aPT1R,aPT2R,aKFRawR,aKFPT10R,aKFPT20R,aKFPT11R,aKFPT21R,aKFPT22R
516.191,0.747,1.273,1.304,1.331,1.441,1.434,1.434,1.417,1.417,1.396
516.201,-0.042,0.915,1.309,1.327,1.434,1.428,1.428,1.422,1.422,1.408
516.212,-0.726,0.279,1.292,1.323,1.401,1.395,1.395,1.415,1.415,1.415
516.222,-1.142,-0.111,1.288,1.318,1.400,1.394,1.394,1.410,1.410,1.417
516.233,-0.903,-0.449,1.269,1.311,1.400,1.394,1.394,1.400,1.400,1.414
516.243,-0.769,-0.608,1.265,1.304,1.391,1.385,1.385,1.391,1.391,1.409
516.254,-1.483,-0.807,1.246,1.297,1.362,1.356,1.356,1.380,1.380,1.403
516.264,0.009,-0.768,1.238,1.289,1.369,1.363,1.363,1.371,1.371,1.394
516.274,-1.094,-0.705,1.248,1.282,1.341,1.335,1.335,1.366,1.366,1.388
516.285,-0.904,-0.787,1.258,1.278,1.330,1.324,1.324,1.357,1.357,1.381
516.295,-1.909,-1.185,1.264,1.276,1.284,1.279,1.279,1.339,1.340,1.371
516.305,-3.101,-1.900,1.232,1.271,1.224,1.218,1.218,1.310,1.310,1.356
516.316,-2.204,-2.143,1.227,1.265,1.213,1.208,1.208,1.282,1.283,1.335
516.326,-2.380,-2.175,1.224,1.259,1.187,1.181,1.181,1.260,1.260,1.313
516.337,-2.014,-2.048,1.217,1.254,1.183,1.178,1.178,1.242,1.242,1.292
516.347,-2.967,-2.348,1.211,1.248,1.138,1.132,1.133,1.215,1.215,1.270
516.357,-3.584,-2.808,1.232,1.244,1.086,1.080,1.080,1.179,1.180,1.244
516.368,-3.946,-3.158,1.248,1.244,1.037,1.031,1.031,1.142,1.142,1.214
516.378,-4.564,-3.637,1.265,1.245,0.983,0.977,0.977,1.098,1.099,1.180
516.389,-5.538,-4.205,1.293,1.250,0.904,0.898,0.898,1.045,1.046,1.139
516.399,-4.057,-4.326,1.309,1.257,0.890,0.884,0.885,0.998,0.998,1.095
516.409,-4.556,-4.362,1.342,1.268,0.837,0.830,0.831,0.955,0.955,1.052
516.420,-3.478,-4.089,1.345,1.279,0.835,0.828,0.829,0.918,0.918,1.009
516.430,-4.256,-3.993,1.372,1.291,0.790,0.783,0.783,0.881,0.881,0.969
516.440,-4.494,-4.121,1.403,1.305,0.751,0.744,0.744,0.839,0.839,0.929
516.451,-4.272,-4.194,1.421,1.320,0.709,0.702,0.702,0.795,0.795,0.887
516.461,-3.932,-4.140,1.452,1.338,0.676,0.669,0.669,0.753,0.753,0.844
516.472,-3.625,-3.830,1.522,1.359,0.649,0.642,0.641,0.719,0.719,0.804
516.482,-3.030,-3.577,1.593,1.388,0.637,0.629,0.629,0.688,0.688,0.768
516.492,-3.698,-3.464,1.642,1.422,0.601,0.593,0.592,0.657,0.657,0.733
516.503,-1.801,-3.082,1.683,1.458,0.619,0.611,0.610,0.632,0.631,0.700
516.513,-1.125,-2.401,1.713,1.492,0.620,0.612,0.610,0.619,0.618,0.674
516.523,-0.178,-1.742,1.737,1.526,0.630,0.621,0.620,0.613,0.612,0.654
516.534,0.322,-1.132,1.718,1.555,0.639,0.631,0.629,0.613,0.612,0.641
516.544,-0.572,-0.855,1.668,1.573,0.608,0.599,0.598,0.611,0.610,0.633
516.554,-0.287,-0.667,1.640,1.583,0.618,0.610,0.608,0.610,0.608,0.627
516.565,0.252,-0.272,1.612,1.589,0.635,0.627,0.625,0.614,0.612,0.624
516.575,-1.753,-0.502,1.567,1.588,0.589,0.581,0.579,0.609,0.607,0.622
516.585,-0.073,-0.514,1.537,1.582,0.618,0.610,0.609,0.603,0.601,0.618
516.596,-1.015,-0.620,1.515,1.574,0.605,0.597,0.596,0.600,0.598,0.614
516.606,-0.877,-0.694,1.480,1.563,0.607,0.600,0.598,0.593,0.591,0.609
516.617,0.632,-0.287,1.457,1.549,0.647,0.640,0.638,0.597,0.595,0.606
516.627,1.009,0.200,1.440,1.534,0.661,0.655,0.653,0.607,0.606,0.607
516.637,0.964,0.361,1.413,1.519,0.653,0.647,0.645,0.614,0.613,0.611
516.648,1.851,0.712,1.389,1.502,0.679,0.673,0.671,0.628,0.627,0.619
516.658,1.093,0.928,1.361,1.483,0.681,0.674,0.673,0.644,0.643,0.629
516.668,0.572,0.887,1.355,1.465,0.669,0.663,0.662,0.654,0.652,0.640
516.679,-0.337,0.615,1.337,1.448,0.662,0.656,0.655,0.659,0.658,0.650
516.689,-0.008,0.440,1.327,1.431,0.680,0.674,0.673,0.662,0.661,0.657
516.699,-0.039,0.226,1.296,1.414,0.681,0.675,0.675,0.662,0.661,0.662
516.710,1.496,0.636,1.280,1.396,0.734,0.728,0.728,0.675,0.675,0.668
516.720,0.962,0.917,1.264,1.378,0.739,0.733,0.732,0.691,0.691,0.678
516.730,1.165,0.888,1.251,1.360,0.741,0.735,0.734,0.700,0.700,0.688
516.741,3.301,1.591,1.239,1.344,0.815,0.810,0.810,0.727,0.727,0.702
516.751,2.565,2.075,1.226,1.327,0.833,0.828,0.828,0.759,0.759,0.723
516.762,1.910,2.117,1.201,1.311,0.844,0.839,0.839,0.784,0.784,0.747
516.772,0.460,1.710,1.198,1.295,0.836,0.830,0.830,0.799,0.799,0.769
516.782,-1.333,0.753,1.211,1.282,0.786,0.781,0.781,0.793,0.793,0.783
516.793,-1.924,-0.241,1.218,1.272,0.742,0.736,0.736,0.775,0.775,0.786
516.803,-2.416,-1.044,1.212,1.265,0.716,0.711,0.711,0.753,0.754,0.781
516.813,-3.116,-1.680,1.214,1.258,0.679,0.674,0.674,0.728,0.728,0.768
516.824,-3.103,-2.157,1.226,1.253,0.648,0.643,0.643,0.698,0.698,0.749
516.834,-2.849,-2.469,1.231,1.250,0.623,0.617,0.618,0.668,0.668,0.726
516.844,-1.712,-2.258,1.267,1.250,0.633,0.628,0.628,0.648,0.649,0.703
516.855,-2.998,-2.357,1.262,1.252,0.584,0.578,0.579,0.625,0.626,0.681
516.865,-3.080,-2.574,1.279,1.255,0.556,0.550,0.551,0.597,0.597,0.657
516.875,-2.379,-2.606,1.267,1.258,0.544,0.539,0.539,0.570,0.570,0.631
516.886,-3.097,-2.651,1.281,1.262,0.516,0.510,0.510,0.545,0.545,0.606
516.896,-2.580,-2.840,1.307,1.266,0.491,0.485,0.485,0.513,0.513,0.578
516.907,-3.781,-3.123,1.360,1.277,0.423,0.416,0.417,0.478,0.478,0.549
516.917,-3.676,-3.352,1.403,1.292,0.394,0.388,0.388,0.442,0.442,0.517
516.928,-2.792,-3.356,1.452,1.313,0.372,0.365,0.365,0.407,0.407,0.482
516.938,-2.018,-3.026,1.494,1.336,0.355,0.348,0.347,0.382,0.381,0.451
516.948,-1.418,-2.492,1.523,1.362,0.362,0.355,0.354,0.367,0.367,0.424
516.959,-0.080,-1.779,1.521,1.385,0.387,0.380,0.379,0.361,0.361,0.404
516.969,0.606,-0.957,1.509,1.404,0.418,0.411,0.410,0.368,0.367,0.392
516.980,1.441,-0.347,1.480,1.417,0.429,0.422,0.421,0.375,0.374,0.387
516.990,0.592,0.079,1.447,1.423,0.429,0.422,0.421,0.387,0.386,0.388
517.000,-1.482,-0.283,1.414,1.424,0.380,0.374,0.373,0.383,0.382,0.389
517.011,-2.170,-0.952,1.389,1.420,0.337,0.331,0.330,0.364,0.363,0.384
517.021,-3.267,-1.623,1.377,1.414,0.299,0.293,0.292,0.340,0.339,0.373
517.031,-3.358,-2.384,1.378,1.409,0.252,0.245,0.245,0.304,0.303,0.354
