R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
175,25,1900,200,25,2100,300,100,0,0,0,0,7,75,10,10.0,32.0,0.000,0.000,75.00
sysTime,GPT1X,GPT2X,aPT1R,aPT2R,aKFRawR,aKFPT10R,aKFPT20R,aKFPT11R,aKFPT21R,aKFPT22R
209.828,0.410,1.112,-0.678,-0.678,-0.807,-0.658,-0.643,-0.610,-0.596,-0.274
209.839,0.181,0.775,-0.704,-0.681,-0.803,-0.654,-0.639,-0.607,-0.593,-0.264
209.849,0.176,0.480,-0.706,-0.684,-0.815,-0.665,-0.651,-0.608,-0.593,-0.258
209.859,-0.380,0.317,-0.688,-0.685,-0.823,-0.673,-0.659,-0.607,-0.592,-0.254
209.870,0.324,0.172,-0.681,-0.684,-0.810,-0.661,-0.646,-0.608,-0.594,-0.252
209.880,0.229,0.182,-0.689,-0.685,-0.823,-0.673,-0.659,-0.607,-0.593,-0.251
209.890,-1.080,-0.143,-0.679,-0.684,-0.854,-0.705,-0.691,-0.612,-0.598,-0.250
209.900,0.736,-0.086,-0.683,-0.683,-0.824,-0.675,-0.661,-0.615,-0.601,-0.253
209.911,0.776,0.224,-0.693,-0.683,-0.811,-0.663,-0.648,-0.607,-0.593,-0.252
209.921,0.520,0.416,-0.676,-0.683,-0.808,-0.659,-0.644,-0.600,-0.585,-0.248
209.931,1.004,0.580,-0.672,-0.681,-0.791,-0.643,-0.628,-0.592,-0.577,-0.244
209.941,0.947,0.832,-0.669,-0.679,-0.775,-0.626,-0.612,-0.579,-0.565,-0.236
209.952,0.310,0.785,-0.679,-0.678,-0.783,-0.635,-0.621,-0.572,-0.557,-0.228
209.962,-1.038,0.309,-0.654,-0.676,-0.812,-0.664,-0.650,-0.575,-0.560,-0.222
209.972,-0.919,-0.233,-0.648,-0.673,-0.827,-0.679,-0.665,-0.586,-0.572,-0.222
209.982,-0.122,-0.392,-0.639,-0.669,-0.815,-0.667,-0.652,-0.593,-0.579,-0.226
209.993,-0.074,-0.176,-0.642,-0.665,-0.804,-0.656,-0.642,-0.591,-0.577,-0.229
210.003,0.227,0.079,-0.626,-0.661,-0.796,-0.649,-0.635,-0.588,-0.574,-0.230
210.013,-0.031,0.068,-0.649,-0.658,-0.806,-0.658,-0.644,-0.587,-0.573,-0.229
210.023,0.587,0.169,-0.661,-0.658,-0.794,-0.647,-0.633,-0.585,-0.571,-0.228
210.034,-1.173,-0.051,-0.673,-0.659,-0.834,-0.686,-0.672,-0.588,-0.574,-0.227
210.044,-0.710,-0.295,-0.691,-0.663,-0.819,-0.672,-0.657,-0.594,-0.580,-0.229
210.054,-0.773,-0.396,-0.674,-0.665,-0.817,-0.670,-0.656,-0.600,-0.586,-0.233
210.064,-0.458,-0.488,-0.656,-0.665,-0.829,-0.682,-0.667,-0.608,-0.593,-0.238
210.075,-0.794,-0.593,-0.666,-0.664,-0.839,-0.692,-0.678,-0.615,-0.600,-0.243
210.085,-0.636,-0.507,-0.662,-0.665,-0.839,-0.692,-0.678,-0.619,-0.605,-0.249
210.095,-0.982,-0.691,-0.662,-0.664,-0.857,-0.710,-0.696,-0.629,-0.615,-0.256
210.105,-0.420,-0.695,-0.659,-0.664,-0.856,-0.709,-0.695,-0.637,-0.623,-0.263
210.116,0.301,-0.453,-0.656,-0.662,-0.839,-0.692,-0.678,-0.638,-0.624,-0.269
210.126,-0.289,-0.333,-0.689,-0.663,-0.856,-0.709,-0.695,-0.639,-0.625,-0.273
210.136,-0.665,-0.481,-0.691,-0.668,-0.879,-0.733,-0.719,-0.646,-0.632,-0.278
210.146,0.314,-0.327,-0.701,-0.673,-0.864,-0.717,-0.703,-0.648,-0.634,-0.282
210.157,0.140,-0.082,-0.694,-0.677,-0.863,-0.717,-0.703,-0.645,-0.631,-0.284
210.167,0.518,0.056,-0.675,-0.677,-0.852,-0.706,-0.692,-0.642,-0.628,-0.284
210.177,0.623,0.279,-0.668,-0.675,-0.832,-0.686,-0.672,-0.635,-0.621,-0.283
210.187,0.334,0.326,-0.671,-0.675,-0.832,-0.686,-0.672,-0.630,-0.616,-0.279
210.198,1.660,0.611,-0.684,-0.674,-0.798,-0.652,-0.638,-0.621,-0.607,-0.275
210.208,1.598,0.888,-0.672,-0.675,-0.785,-0.640,-0.626,-0.606,-0.592,-0.267
210.218,1.636,1.236,-0.699,-0.677,-0.771,-0.625,-0.611,-0.589,-0.575,-0.257
210.229,0.194,0.883,-0.700,-0.680,-0.801,-0.656,-0.641,-0.584,-0.570,-0.246
210.239,0.840,0.856,-0.702,-0.682,-0.782,-0.636,-0.622,-0.577,-0.563,-0.237
210.249,0.324,0.733,-0.709,-0.686,-0.777,-0.632,-0.617,-0.570,-0.556,-0.229
210.259,0.175,0.665,-0.714,-0.690,-0.756,-0.610,-0.596,-0.563,-0.549,-0.222
210.269,0.016,0.437,-0.688,-0.691,-0.759,-0.614,-0.599,-0.562,-0.548,-0.216
210.280,0.591,0.525,-0.678,-0.690,-0.741,-0.596,-0.581,-0.557,-0.543,-0.212
210.290,1.063,0.546,-0.664,-0.686,-0.738,-0.593,-0.579,-0.552,-0.538,-0.207
210.300,0.493,0.683,-0.672,-0.684,-0.741,-0.596,-0.582,-0.543,-0.529,-0.200
210.311,0.808,0.660,-0.668,-0.682,-0.732,-0.588,-0.574,-0.537,-0.523,-0.194
210.321,0.819,0.640,-0.663,-0.679,-0.734,-0.589,-0.575,-0.531,-0.517,-0.187
210.331,0.280,0.701,-0.703,-0.681,-0.728,-0.584,-0.570,-0.522,-0.508,-0.180
210.341,-0.136,0.402,-0.703,-0.684,-0.738,-0.593,-0.579,-0.522,-0.508,-0.175
210.352,-0.892,0.032,-0.704,-0.687,-0.765,-0.621,-0.607,-0.528,-0.514,-0.173
210.362,-0.045,0.019,-0.691,-0.689,-0.737,-0.593,-0.579,-0.529,-0.515,-0.173
210.372,1.317,0.329,-0.689,-0.688,-0.704,-0.560,-0.546,-0.523,-0.508,-0.172
210.382,1.972,0.801,-0.681,-0.687,-0.682,-0.538,-0.524,-0.508,-0.494,-0.166
210.393,0.818,0.910,-0.675,-0.686,-0.708,-0.565,-0.551,-0.496,-0.482,-0.158
210.403,-0.067,0.695,-0.677,-0.685,-0.726,-0.582,-0.568,-0.493,-0.479,-0.149
210.413,-0.684,0.303,-0.664,-0.682,-0.739,-0.595,-0.581,-0.495,-0.481,-0.144
210.424,-0.869,-0.074,-0.663,-0.680,-0.739,-0.595,-0.581,-0.501,-0.487,-0.143
210.434,0.534,-0.061,-0.643,-0.675,-0.716,-0.573,-0.559,-0.504,-0.490,-0.145
210.444,0.277,-0.032,-0.654,-0.671,-0.724,-0.581,-0.567,-0.503,-0.489,-0.146
210.454,0.478,-0.002,-0.653,-0.669,-0.732,-0.589,-0.575,-0.504,-0.490,-0.146
210.464,0.117,-0.095,-0.631,-0.666,-0.749,-0.606,-0.593,-0.506,-0.492,-0.147
210.476,-0.827,-0.248,-0.669,-0.664,-0.783,-0.640,-0.626,-0.511,-0.497,-0.149
210.487,0.057,-0.311,-0.678,-0.666,-0.769,-0.626,-0.612,-0.517,-0.504,-0.153
210.498,-0.622,-0.345,-0.675,-0.667,-0.798,-0.655,-0.641,-0.522,-0.508,-0.156
210.509,-0.069,-0.285,-0.686,-0.668,-0.780,-0.637,-0.624,-0.524,-0.510,-0.160
210.520,0.367,-0.143,-0.695,-0.671,-0.764,-0.621,-0.607,-0.522,-0.508,-0.162
210.531,-0.143,-0.132,-0.719,-0.676,-0.781,-0.638,-0.624,-0.523,-0.509,-0.164
210.542,-0.479,-0.115,-0.722,-0.681,-0.778,-0.635,-0.621,-0.523,-0.509,-0.165
210.553,-0.448,-0.191,-0.714,-0.685,-0.778,-0.635,-0.621,-0.527,-0.513,-0.167
210.564,-0.485,-0.322,-0.708,-0.688,-0.792,-0.649,-0.635,-0.534,-0.520,-0.170
210.575,-0.641,-0.324,-0.690,-0.689,-0.792,-0.650,-0.636,-0.537,-0.523,-0.174
210.585,0.767,-0.138,-0.680,-0.689,-0.749,-0.607,-0.593,-0.535,-0.521,-0.176
210.596,-0.086,-0.083,-0.691,-0.690,-0.773,-0.631,-0.617,-0.534,-0.520,-0.177
210.607,-0.584,-0.206,-0.649,-0.687,-0.797,-0.655,-0.642,-0.539,-0.525,-0.179
210.618,-0.230,-0.226,-0.742,-0.687,-0.788,-0.646,-0.632,-0.542,-0.528,-0.182
210.629,-0.570,-0.247,-0.690,-0.692,-0.797,-0.655,-0.641,-0.545,-0.531,-0.184
210.640,-0.872,-0.484,-0.667,-0.689,-0.817,-0.675,-0.661,-0.555,-0.542,-0.189
210.651,-0.498,-0.563,-0.867,-0.702,-0.822,-0.679,-0.665,-0.564,-0.550,-0.195
210.662,0.159,-0.277,-0.807,-0.713,-0.791,-0.649,-0.635,-0.561,-0.547,-0.199
210.673,-0.207,-0.201,-0.941,-0.733,-0.805,-0.662,-0.648,-0.562,-0.548,-0.202
210.684,1.544,0.190,-1.032,-0.768,-0.743,-0.600,-0.585,-0.553,-0.538,-0.202
210.694,0.402,0.487,-1.052,-0.805,-0.747,-0.604,-0.589,-0.539,-0.524,-0.198
210.705,0.274,0.385,-1.130,-0.839,-0.754,-0.610,-0.596,-0.537,-0.523,-0.193
210.716,-0.599,0.189,-1.215,-0.875,-0.778,-0.634,-0.620,-0.539,-0.524,-0.190
210.727,0.295,0.141,-1.147,-0.908,-0.747,-0.604,-0.589,-0.539,-0.524,-0.189
210.738,1.393,0.358,-1.200,-0.944,-0.728,-0.585,-0.570,-0.533,-0.518,-0.187
210.749,1.230,0.519,-1.005,-0.967,-0.747,-0.605,-0.590,-0.526,-0.511,-0.183
210.760,-0.120,0.499,-1.089,-0.980,-0.777,-0.634,-0.619,-0.520,-0.504,-0.177
210.771,-0.286,0.364,-1.157,-0.992,-0.782,-0.639,-0.623,-0.520,-0.504,-0.173
210.782,-0.098,0.232,-1.062,-0.992,-0.772,-0.630,-0.615,-0.520,-0.505,-0.170
210.793,0.126,0.089,-1.281,-1.016,-0.773,-0.630,-0.614,-0.523,-0.508,-0.169
210.804,0.011,0.111,-1.038,-1.032,-0.776,-0.634,-0.619,-0.522,-0.507,-0.168
210.814,0.895,0.272,-1.089,-1.042,-0.751,-0.609,-0.593,-0.517,-0.502,-0.166
