R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha,IRelaxR,IRelaxE,DmaxR,DmaxE,DMx,DMy
84,1,105,76,1,95,250,0,0,0,0,0,2147483648,10000000,0.000100,0.003000,50,0,0,0,0,0,0,0,0,0.995,0,0,0,0,0,0
sysTickMs,PIDRefXi,PIDRefYi,PIDSensXi,PIDSensYi,PIDPoutXi,PIDIoutXi,PIDDoutXi,PIDUXi
14401,0,0,0,0,0,0,0,0
14406,0,0,0,0,0,0,0,0
14411,0,0,0,0,0,0,0,0
14416,0,0,0,0,0,0,0,0
14421,0,0,0,0,0,0,0,0
14426,0,0,0,0,0,0,0,0
14431,0,0,0,0,0,0,0,0
14436,0,0,0,0,0,0,0,0
14441,0,0,0,0,0,0,0,0
14446,0,0,0,0,0,0,0,0
14451,0,0,0,0,0,0,0,0
14456,0,0,0,0,0,0,0,0
14461,0,0,0,0,0,0,0,0
14466,0,0,0,0,0,0,0,0
14471,0,0,0,0,0,0,0,0
14476,0,0,0,0,0,0,0,0
14481,0,0,0,0,0,0,0,0
14486,0,0,0,0,0,0,0,0
14491,0,0,0,0,0,0,0,0
14496,0,0,0,0,0,0,0,0
14501,0,0,0,0,0,0,0,0
14506,0,0,0,0,0,0,0,0
14511,0,0,0,0,0,0,0,0
14516,0,0,0,0,0,0,0,0
14521,0,0,0,0,0,0,0,0
14526,0,0,0,0,0,0,0,0
14531,0,0,0,0,0,0,0,0
14536,0,0,0,0,0,0,0,0
14541,0,0,0,0,0,0,0,0
14546,0,0,0,0,0,0,0,0
14551,0,0,0,0,0,0,0,0
14556,0,0,0,0,0,0,0,0
14561,0,0,0,0,0,0,0,0
14566,0,0,0,0,0,0,0,0
14571,0,0,0,0,0,0,0,0
14576,0,0,0,0,0,0,0,0
14581,0,0,0,0,0,0,0,0
14586,0,0,0,0,0,0,0,0
14591,0,0,0,0,0,0,0,0
14596,0,0,0,0,0,0,0,0
14601,0,0,0,0,0,0,0,0
14606,0,0,0,0,0,0,0,0
14611,0,0,0,0,0,0,0,0
14616,0,0,0,0,0,0,0,0
14621,0,0,0,0,0,0,0,0
14626,0,0,0,0,0,0,0,0
14631,0,0,0,0,0,0,0,0
14636,0,0,0,0,0,0,0,0
14641,0,0,0,0,0,0,0,0
14646,0,0,0,0,0,0,0,0
14651,0,0,0,0,0,0,0,0
14656,0,0,0,0,0,0,0,0
14661,0,0,0,0,0,0,0,0
14666,0,0,0,0,0,0,0,0
14671,0,0,0,0,0,0,0,0
14676,0,0,0,0,0,0,0,0
14681,0,0,0,0,0,0,0,0
14686,0,0,0,0,0,0,0,0
14691,0,0,0,0,0,0,0,0
14696,0,0,0,0,0,0,0,0
14701,0,0,0,0,0,0,0,0
14706,0,0,0,0,0,0,0,0
14711,0,0,0,0,0,0,0,0
14716,0,0,0,0,0,0,0,0
14721,0,0,0,0,0,0,0,0
14726,0,0,0,0,0,0,0,0
14731,0,0,0,0,0,0,0,0
14736,0,0,0,0,0,0,0,0
14741,0,0,0,0,0,0,0,0
14746,0,0,0,0,0,0,0,0
14751,0,0,0,0,0,0,0,0
14756,0,0,0,0,0,0,0,0
14761,0,0,0,0,0,0,0,0
14766,0,0,0,0,0,0,0,0
14771,0,0,0,0,0,0,0,0
14776,0,0,0,0,0,0,0,0
14781,0,0,0,0,0,0,0,0
14786,0,0,0,0,0,0,0,0
14791,0,0,0,0,0,0,0,0
14796,0,0,0,0,0,0,0,0
14801,0,0,0,0,0,0,0,0
14806,0,0,0,0,0,0,0,0
14811,0,0,0,0,0,0,0,0
14816,0,0,0,0,0,0,0,0
14821,0,0,0,0,0,0,0,0
14826,0,0,0,0,0,0,0,0
14831,0,0,0,0,0,0,0,0
14836,0,0,0,0,0,0,0,0
14841,0,0,0,0,0,0,0,0
14846,0,0,0,0,0,0,0,0
14851,0,0,0,0,0,0,0,0
14856,0,0,0,0,0,0,0,0
14861,0,0,0,0,0,0,0,0
14866,0,0,0,0,0,0,0,0
14871,0,0,0,0,0,0,0,0
14876,0,0,0,0,0,0,0,0
14881,0,0,0,0,0,0,0,0
14886,0,0,0,0,0,0,0,0
14891,0,0,0,0,0,0,0,0
14896,0,0,0,0,0,0,0,0
14901,0,0,0,0,0,0,0,0
14906,0,0,0,0,0,0,0,0
14911,0,0,0,0,0,0,0,0
14916,0,0,0,0,0,0,0,0
14921,0,0,0,0,0,0,0,0
14926,0,0,0,0,0,0,0,0
14931,0,0,0,0,0,0,0,0
14936,0,0,0,0,0,0,0,0
14941,0,0,0,0,0,0,0,0
14946,0,0,0,0,0,0,0,0
14951,0,0,0,0,0,0,0,0
14956,0,0,0,0,0,0,0,0
14961,0,0,0,0,0,0,0,0
14966,0,0,0,0,0,0,0,0
14971,0,0,0,0,0,0,0,0
14976,0,0,0,0,0,0,0,0
14981,0,0,0,0,0,0,0,0
14986,0,0,0,0,0,0,0,0
14991,0,0,0,0,0,0,0,0
14996,0,0,0,0,0,0,0,0
15001,0,0,0,0,0,0,0,0
15006,0,0,0,0,0,0,0,0
15011,0,0,0,0,0,0,0,0
15016,0,0,0,0,0,0,0,0
