R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,64.0,0.000100,0.003000,50,40,10,30,0,75,300,0,0,0.995
sysTime,GRawX,GPT1X,GPT2X,aRawR,aPT1R,aKFRawR,aKFPT10R,aKFPT11R,aCFRawR,aCFPT10R,aCFPT11R
243.524,0.322,0.189,-0.401,-0.122,-0.170,-0.203,-0.190,-0.192,-0.205,-0.200,-0.206
243.535,2.153,-0.902,-0.726,-0.039,-0.171,-0.248,-0.235,-0.202,-0.248,-0.243,-0.215
243.546,-5.537,-0.517,-0.675,-0.332,-0.174,-0.256,-0.243,-0.211,-0.255,-0.249,-0.222
243.557,-4.560,-0.676,-0.563,-0.039,-0.178,-0.257,-0.244,-0.215,-0.255,-0.248,-0.225
243.568,3.495,-0.099,-0.387,-0.206,-0.176,-0.240,-0.227,-0.217,-0.236,-0.230,-0.225
243.579,-3.462,0.038,0.004,0.002,-0.169,-0.218,-0.206,-0.211,-0.211,-0.207,-0.218
243.590,2.641,0.129,-0.131,-0.288,-0.178,-0.223,-0.209,-0.214,-0.216,-0.210,-0.219
243.601,1.176,0.480,0.116,-0.122,-0.179,-0.204,-0.191,-0.209,-0.197,-0.191,-0.214
243.612,-0.898,0.510,0.316,-0.122,-0.171,-0.200,-0.187,-0.203,-0.191,-0.187,-0.207
243.623,-4.194,0.387,0.512,-0.246,-0.175,-0.194,-0.181,-0.196,-0.185,-0.181,-0.199
243.634,0.810,0.472,0.103,-0.206,-0.176,-0.217,-0.204,-0.200,-0.207,-0.203,-0.202
243.645,1.298,0.033,0.023,-0.080,-0.169,-0.233,-0.220,-0.200,-0.220,-0.217,-0.202
243.656,2.885,-0.112,-0.036,-0.247,-0.165,-0.230,-0.217,-0.200,-0.215,-0.213,-0.200
243.667,0.077,-0.852,-0.469,-0.206,-0.157,-0.256,-0.243,-0.208,-0.236,-0.237,-0.208
243.677,2.153,-0.254,-0.545,-0.122,-0.158,-0.251,-0.239,-0.215,-0.230,-0.231,-0.213
