R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,64.0,0.000100,0.003000,50,50,0,30,0,75,300,0,0,0.995
sysTime,GRawX,GPT1X,GPT2X,aRawR,aPT1R,aKFRawR,aKFPT10R,aKFPT11R,aCFRawR,aCFPT10R,aCFPT11R
218.306,-6.147,-0.577,-0.023,0.002,-0.122,-0.075,-0.164,-0.127,-0.211,-0.211,-0.172
218.317,0.444,-0.906,-0.307,-0.370,-0.121,-0.073,-0.162,-0.131,-0.207,-0.207,-0.175
218.328,0.322,-0.207,-0.569,-0.081,-0.121,-0.088,-0.177,-0.141,-0.219,-0.219,-0.185
218.339,3.251,0.038,-0.289,-0.122,-0.117,-0.090,-0.178,-0.141,-0.217,-0.219,-0.183
218.350,3.373,0.576,0.011,-0.247,-0.120,-0.079,-0.167,-0.138,-0.205,-0.205,-0.178
218.361,-0.776,0.479,0.381,-0.081,-0.125,-0.063,-0.150,-0.128,-0.189,-0.188,-0.168
218.372,-0.410,0.797,0.700,-0.289,-0.121,-0.035,-0.122,-0.115,-0.158,-0.159,-0.155
218.383,5.815,1.621,0.811,-0.164,-0.119,-0.027,-0.114,-0.106,-0.149,-0.150,-0.146
218.394,0.199,1.052,1.072,-0.165,-0.126,-0.019,-0.105,-0.090,-0.143,-0.141,-0.130
218.405,-0.288,1.567,1.359,-0.039,-0.123,-0.001,-0.087,-0.073,-0.124,-0.124,-0.114
218.416,1.664,0.473,0.939,-0.122,-0.120,-0.004,-0.090,-0.064,-0.126,-0.127,-0.106
218.427,-3.096,0.485,0.972,-0.164,-0.123,0.019,-0.065,-0.052,-0.104,-0.104,-0.095
218.438,-3.828,-0.552,0.386,-0.206,-0.115,-0.007,-0.092,-0.053,-0.129,-0.131,-0.098
218.448,0.444,-0.967,-0.210,-0.164,-0.117,-0.013,-0.098,-0.060,-0.135,-0.137,-0.106
218.459,2.275,0.042,-0.323,-0.415,-0.120,-0.009,-0.093,-0.066,-0.132,-0.132,-0.113
218.471,-1.509,-0.587,-0.327,-0.372,-0.121,-0.015,-0.099,-0.068,-0.138,-0.138,-0.115
218.481,-5.659,-0.525,-0.335,0.002,-0.114,-0.025,-0.109,-0.072,-0.146,-0.148,-0.120
218.492,4.960,1.115,-0.011,-0.039,-0.122,0.007,-0.075,-0.070,-0.115,-0.114,-0.118
218.503,-6.758,-0.140,0.262,-0.039,-0.119,0.016,-0.065,-0.059,-0.106,-0.106,-0.109
218.514,-3.706,0.069,0.162,0.044,-0.103,0.028,-0.054,-0.058,-0.091,-0.096,-0.108
218.525,-6.392,0.636,0.513,-0.164,-0.097,0.053,-0.029,-0.049,-0.065,-0.073,-0.100
218.536,-0.410,1.246,0.640,-0.122,-0.110,0.043,-0.037,-0.043,-0.079,-0.082,-0.095
218.547,-6.392,-0.242,0.627,-0.372,-0.122,0.036,-0.044,-0.033,-0.091,-0.090,-0.086
218.558,0.199,-0.335,0.181,-0.122,-0.115,0.045,-0.035,-0.034,-0.081,-0.083,-0.089
218.569,5.082,0.526,-0.099,-0.038,-0.117,0.033,-0.046,-0.040,-0.094,-0.095,-0.096
218.580,-1.997,0.891,0.596,0.086,-0.110,0.060,-0.019,-0.026,-0.067,-0.070,-0.084
218.591,-0.410,0.652,0.761,-0.122,-0.118,0.077,-0.002,-0.015,-0.055,-0.055,-0.074
218.602,-4.072,0.533,0.790,-0.290,-0.125,0.081,0.002,-0.006,-0.054,-0.052,-0.067
218.613,-1.631,0.475,0.703,-0.331,-0.124,0.088,0.010,0.000,-0.049,-0.048,-0.063
218.624,3.373,0.637,0.623,-0.247,-0.124,0.097,0.019,0.006,-0.043,-0.041,-0.059
218.635,1.298,0.321,0.480,0.044,-0.126,0.090,0.012,0.010,-0.053,-0.051,-0.058
218.646,1.176,2.048,1.062,-0.039,-0.133,0.132,0.056,0.025,-0.016,-0.011,-0.046
218.657,-0.776,1.284,1.287,-0.206,-0.129,0.137,0.060,0.043,-0.014,-0.011,-0.031
218.668,4.350,0.862,1.038,-0.331,-0.139,0.132,0.056,0.051,-0.024,-0.018,-0.026
218.679,-3.584,0.397,0.867,-0.206,-0.146,0.122,0.048,0.058,-0.039,-0.031,-0.022
218.690,1.909,-0.103,0.334,-0.039,-0.143,0.109,0.034,0.057,-0.054,-0.047,-0.028
218.701,2.641,1.378,0.575,0.002,-0.152,0.149,0.075,0.064,-0.020,-0.011,-0.025
218.711,-0.288,1.083,1.061,-0.206,-0.157,0.165,0.092,0.081,-0.009,0.001,-0.012
218.722,-3.462,0.813,1.088,-0.122,-0.154,0.164,0.091,0.092,-0.013,-0.004,-0.006
218.733,-0.410,0.391,0.650,-0.039,-0.164,0.144,0.072,0.093,-0.040,-0.028,-0.010
218.744,0.199,1.124,0.881,-0.164,-0.162,0.184,0.113,0.105,-0.003,0.007,-0.003
218.755,3.740,2.561,1.454,-0.122,-0.154,0.199,0.127,0.121,0.008,0.016,0.008
218.766,-3.584,0.429,1.372,-0.330,-0.159,0.179,0.108,0.138,-0.015,-0.006,0.019
218.777,-2.363,-0.464,0.597,0.002,-0.164,0.149,0.078,0.135,-0.051,-0.040,0.011
218.788,-4.194,-1.018,-0.146,-0.080,-0.165,0.121,0.051,0.124,-0.081,-0.070,-0.004
218.799,1.054,-0.426,-0.467,-0.164,-0.164,0.119,0.050,0.114,-0.084,-0.074,-0.019
218.810,5.693,1.611,0.127,-0.164,-0.167,0.152,0.083,0.118,-0.055,-0.045,-0.019
218.821,-0.044,1.408,0.895,-0.248,-0.174,0.181,0.112,0.137,-0.032,-0.019,-0.005
218.832,-5.781,-0.939,0.438,-0.289,-0.178,0.148,0.080,0.140,-0.069,-0.056,-0.007
218.843,3.740,-0.297,-0.010,-0.080,-0.162,0.159,0.091,0.133,-0.056,-0.048,-0.018
218.854,-1.875,-0.375,0.126,-0.206,-0.164,0.176,0.109,0.136,-0.043,-0.035,-0.020
218.865,4.716,1.095,0.315,0.002,-0.165,0.186,0.119,0.136,-0.036,-0.028,-0.023
218.876,3.007,1.814,0.947,-0.164,-0.165,0.207,0.141,0.151,-0.018,-0.010,-0.012
218.887,4.228,1.572,1.307,0.002,-0.152,0.230,0.163,0.170,0.003,0.006,0.001
218.898,-1.753,1.278,1.531,-0.247,-0.151,0.254,0.187,0.189,0.023,0.026,0.016
218.909,2.031,-0.255,0.683,-0.164,-0.158,0.210,0.144,0.187,-0.026,-0.021,0.009
218.920,3.740,0.696,0.430,-0.330,-0.161,0.223,0.157,0.186,-0.016,-0.011,0.004
218.931,3.373,0.646,0.400,-0.331,-0.164,0.228,0.163,0.190,-0.016,-0.009,0.003
218.941,-5.903,-0.492,0.076,-0.164,-0.156,0.204,0.139,0.187,-0.040,-0.036,-0.003
218.953,3.007,-0.418,-0.134,-0.289,-0.151,0.201,0.136,0.182,-0.045,-0.042,-0.012
218.964,-4.438,-1.571,-0.596,0.127,-0.145,0.172,0.107,0.171,-0.074,-0.073,-0.026
218.974,4.350,0.076,-0.362,-0.080,-0.142,0.197,0.133,0.165,-0.050,-0.050,-0.035
218.985,-1.753,0.304,-0.036,-0.039,-0.151,0.194,0.130,0.166,-0.057,-0.055,-0.037
218.996,2.031,-0.573,-0.228,-0.080,-0.151,0.161,0.098,0.160,-0.091,-0.089,-0.045
219.007,-3.706,-0.368,-0.118,-0.204,-0.154,0.170,0.107,0.159,-0.084,-0.081,-0.049
219.018,4.472,0.654,-0.191,-0.373,-0.151,0.169,0.107,0.153,-0.085,-0.083,-0.057
219.029,5.327,0.525,0.113,-0.080,-0.150,0.183,0.121,0.158,-0.072,-0.070,-0.054
219.040,2.641,0.502,0.377,-0.122,-0.146,0.212,0.150,0.168,-0.044,-0.044,-0.046
219.051,3.740,0.197,0.225,-0.164,-0.141,0.202,0.140,0.168,-0.054,-0.055,-0.048
219.062,-9.077,-0.431,0.206,0.002,-0.141,0.202,0.140,0.170,-0.056,-0.057,-0.047
219.072,1.054,-0.506,-0.059,-0.205,-0.140,0.199,0.137,0.165,-0.059,-0.061,-0.054
219.083,-1.509,-0.033,-0.072,-0.123,-0.145,0.211,0.150,0.162,-0.050,-0.050,-0.058
219.094,-9.443,-0.804,0.016,-0.454,-0.154,0.215,0.154,0.165,-0.051,-0.048,-0.057
219.105,-2.851,-0.031,-0.075,-0.246,-0.160,0.221,0.161,0.160,-0.047,-0.043,-0.064
219.116,1.298,0.475,0.202,-0.164,-0.161,0.254,0.195,0.166,-0.017,-0.012,-0.059
219.126,10.576,1.510,0.281,-0.248,-0.173,0.256,0.198,0.168,-0.020,-0.012,-0.059
219.137,1.054,2.670,1.114,-0.290,-0.175,0.315,0.257,0.193,0.033,0.042,-0.037
219.148,-1.142,0.705,1.210,-0.205,-0.176,0.284,0.226,0.209,-0.000,0.008,-0.023
219.159,-2.241,0.635,1.088,-0.289,-0.176,0.299,0.241,0.217,0.011,0.019,-0.017
219.170,-1.142,-0.808,0.497,-0.205,-0.178,0.253,0.196,0.213,-0.037,-0.028,-0.025
219.180,7.036,0.244,0.135,-0.039,-0.172,0.258,0.201,0.205,-0.032,-0.025,-0.035
219.191,2.275,-0.245,0.051,0.998,-0.160,0.260,0.202,0.205,-0.029,-0.026,-0.037
219.202,-2.119,-1.006,-0.301,-0.932,-0.161,0.232,0.174,0.196,-0.060,-0.056,-0.048
219.213,1.054,-0.222,-0.386,0.502,-0.157,0.237,0.180,0.188,-0.054,-0.052,-0.058
