R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,64.0,0.000100,0.003000,75,30,0,30,0,75,300,0,0,0.995
sysTime,GRawX,GPT1X,GPT2X,aRawR,aPT1R,aKFRawR,aKFPT10R,aKFPT11R,aCFRawR,aCFPT10R,aCFPT11R
112.782,1.539,0.132,0.167,0.044,0.076,0.083,0.091,0.075,0.110,0.110,0.101
112.793,2.394,0.276,0.141,0.210,0.088,0.099,0.107,0.078,0.128,0.125,0.103
112.803,-0.535,0.830,0.483,0.253,0.102,0.117,0.125,0.086,0.149,0.142,0.111
112.815,0.685,-0.073,0.361,-0.039,0.089,0.112,0.120,0.090,0.138,0.135,0.115
112.826,-4.563,0.193,0.343,0.128,0.098,0.109,0.117,0.092,0.137,0.131,0.116
112.836,2.394,0.705,0.306,0.169,0.099,0.104,0.113,0.093,0.132,0.126,0.116
112.847,4.103,1.852,0.761,0.086,0.092,0.129,0.138,0.104,0.154,0.151,0.127
112.858,5.690,1.425,0.894,0.085,0.093,0.120,0.129,0.116,0.144,0.141,0.137
112.869,-2.366,0.574,1.008,0.169,0.085,0.122,0.131,0.129,0.142,0.141,0.149
112.880,3.004,0.660,0.660,0.002,0.092,0.117,0.126,0.131,0.137,0.134,0.150
112.891,1.295,0.010,0.376,-0.122,0.080,0.109,0.119,0.133,0.126,0.127,0.150
112.902,5.690,-0.277,-0.019,0.086,0.088,0.103,0.112,0.130,0.120,0.119,0.144
112.913,0.441,0.936,0.244,-0.204,0.086,0.116,0.126,0.132,0.133,0.132,0.145
112.924,-7.005,-2.142,-0.281,0.044,0.090,0.072,0.082,0.128,0.089,0.087,0.140
112.935,3.493,-0.374,-0.674,0.044,0.091,0.084,0.094,0.113,0.101,0.099,0.124
112.946,0.197,-0.784,-0.780,0.211,0.101,0.052,0.061,0.103,0.073,0.067,0.113
112.957,5.079,0.507,-0.453,0.210,0.100,0.067,0.076,0.099,0.089,0.083,0.109
112.968,2.394,0.517,-0.216,0.169,0.106,0.046,0.055,0.098,0.071,0.064,0.108
112.979,2.760,0.681,0.087,-0.122,0.094,0.052,0.062,0.103,0.075,0.072,0.112
112.990,-3.831,-0.033,0.252,0.336,0.101,0.048,0.058,0.108,0.073,0.069,0.117
113.001,2.516,0.940,0.381,0.044,0.094,0.064,0.074,0.111,0.088,0.085,0.120
113.012,2.638,1.549,0.815,0.128,0.089,0.078,0.089,0.123,0.101,0.100,0.131
113.022,3.615,-0.162,0.379,0.044,0.082,0.048,0.059,0.126,0.069,0.071,0.132
113.034,2.394,-0.364,-0.065,-0.039,0.075,0.033,0.045,0.120,0.053,0.057,0.125
113.045,-2.732,-0.799,-0.346,0.127,0.083,0.020,0.031,0.113,0.043,0.044,0.117
113.055,3.493,-0.617,-0.489,0.044,0.070,0.028,0.039,0.107,0.048,0.053,0.109
113.066,-4.441,-0.406,-0.410,0.044,0.074,0.024,0.036,0.102,0.047,0.051,0.104
113.077,-7.981,-1.116,-0.503,0.044,0.080,0.012,0.024,0.096,0.038,0.040,0.097
113.088,-0.901,-0.357,-0.458,0.169,0.076,0.026,0.038,0.090,0.051,0.054,0.091
113.099,-0.535,0.017,-0.326,-0.081,0.065,0.029,0.041,0.087,0.052,0.058,0.088
113.110,-1.267,0.572,-0.084,0.170,0.066,0.027,0.039,0.087,0.051,0.056,0.087
113.121,-0.413,0.069,0.039,0.211,0.071,0.013,0.025,0.088,0.039,0.043,0.088
113.132,-0.413,-0.336,-0.108,0.044,0.068,0.005,0.017,0.086,0.032,0.036,0.085
113.143,3.004,-0.128,-0.156,0.085,0.070,0.004,0.017,0.083,0.033,0.037,0.082
113.154,10.085,2.260,0.409,0.085,0.066,0.049,0.061,0.091,0.077,0.082,0.089
113.165,-2.000,0.602,0.797,0.086,0.073,0.037,0.050,0.106,0.068,0.070,0.104
113.176,1.417,-0.324,0.342,0.085,0.070,0.020,0.033,0.106,0.050,0.054,0.103
113.187,4.713,-0.016,0.235,-0.039,0.064,0.036,0.049,0.107,0.064,0.070,0.104
113.198,-2.366,-0.178,0.171,0.296,0.068,0.049,0.062,0.109,0.078,0.082,0.105
