R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,64.0,0.000100,0.003000,50,40,0,40,0,75,300,0,0,0.995
sysTime,GRawX,GPT1X,GPT2X,aRawR,aPT1R,aKFRawR,aKFPT10R,aKFPT11R,aCFRawR,aCFPT10R,aCFPT11R
158.875,-1.753,-0.216,0.395,0.377,0.162,0.284,0.281,0.294,0.209,0.212,0.226
158.886,0.199,0.722,0.363,0.169,0.163,0.297,0.293,0.296,0.219,0.222,0.225
158.897,-6.147,-0.575,0.186,0.002,0.145,0.276,0.274,0.298,0.191,0.199,0.224
158.908,4.228,0.151,0.167,0.252,0.157,0.302,0.299,0.300,0.218,0.222,0.223
158.919,-3.584,0.304,0.398,0.293,0.151,0.321,0.319,0.308,0.233,0.238,0.227
158.930,-4.560,-1.622,-0.305,0.212,0.153,0.289,0.287,0.301,0.198,0.203,0.217
158.941,8.256,-1.184,-1.165,0.169,0.151,0.257,0.255,0.278,0.165,0.170,0.192
158.952,-8.101,-2.475,-1.260,0.169,0.151,0.241,0.240,0.267,0.148,0.153,0.179
158.963,-2.973,-1.777,-1.494,0.296,0.152,0.238,0.237,0.247,0.145,0.149,0.158
158.974,-3.584,-1.472,-1.455,0.294,0.164,0.231,0.230,0.232,0.141,0.142,0.142
158.985,-0.410,-0.521,-1.167,0.002,0.156,0.240,0.239,0.222,0.147,0.150,0.132
158.996,0.077,-0.803,-0.848,0.127,0.152,0.240,0.240,0.219,0.146,0.150,0.129
159.007,-3.340,-0.648,-0.780,0.168,0.145,0.228,0.228,0.211,0.131,0.138,0.121
159.018,-4.683,-0.730,-0.584,0.295,0.149,0.231,0.231,0.208,0.135,0.140,0.118
159.029,-1.509,-0.301,-0.444,0.002,0.143,0.244,0.245,0.206,0.146,0.153,0.115
159.040,-1.387,-0.538,-0.595,0.169,0.157,0.224,0.224,0.198,0.129,0.131,0.108
159.051,2.031,0.404,-0.385,0.169,0.168,0.241,0.241,0.197,0.150,0.149,0.108
159.062,-3.218,-0.165,-0.150,0.169,0.180,0.224,0.223,0.199,0.137,0.131,0.111
159.073,-1.509,-0.433,-0.122,0.127,0.181,0.241,0.241,0.201,0.154,0.149,0.114
159.084,-5.049,-1.298,-0.396,0.335,0.186,0.220,0.220,0.196,0.135,0.128,0.110
159.095,-4.194,-0.622,-0.458,0.128,0.177,0.225,0.226,0.189,0.138,0.135,0.105
159.106,-5.049,-0.879,-0.540,0.294,0.182,0.223,0.223,0.185,0.137,0.132,0.101
159.117,1.664,-1.242,-0.884,0.085,0.160,0.208,0.210,0.174,0.117,0.119,0.092
159.128,-0.776,-1.699,-1.236,0.295,0.168,0.185,0.187,0.158,0.098,0.097,0.078
159.139,2.275,-0.851,-1.389,-0.081,0.170,0.168,0.169,0.141,0.083,0.082,0.062
159.150,4.716,0.297,-1.027,0.128,0.161,0.162,0.164,0.133,0.077,0.079,0.057
159.161,0.566,0.613,-0.354,0.086,0.161,0.156,0.158,0.136,0.073,0.075,0.063
159.172,-4.560,0.101,0.066,0.336,0.174,0.159,0.160,0.144,0.082,0.079,0.072
159.183,-3.096,-0.231,0.037,0.002,0.174,0.157,0.159,0.146,0.082,0.080,0.076
159.194,0.566,0.679,0.443,0.210,0.173,0.197,0.199,0.157,0.122,0.120,0.088
159.205,-1.142,-0.480,0.345,0.127,0.160,0.192,0.196,0.163,0.115,0.117,0.096
159.216,-0.410,-0.393,0.011,0.127,0.162,0.187,0.190,0.160,0.110,0.112,0.094
159.227,-4.805,-1.960,-0.724,0.086,0.158,0.154,0.158,0.148,0.078,0.081,0.083
159.238,8.012,0.380,-0.616,0.169,0.165,0.183,0.187,0.140,0.110,0.111,0.077
159.248,-0.532,-0.215,-0.324,0.294,0.168,0.178,0.182,0.143,0.107,0.107,0.081
159.259,-3.340,0.381,0.110,0.086,0.159,0.193,0.198,0.149,0.120,0.123,0.088
159.270,3.862,1.248,0.267,0.211,0.168,0.204,0.208,0.154,0.134,0.133,0.094
159.281,-5.049,-0.119,0.382,0.209,0.171,0.188,0.192,0.163,0.119,0.118,0.104
159.292,-3.096,-0.589,-0.080,0.211,0.182,0.169,0.172,0.158,0.105,0.099,0.100
159.303,-1.631,-0.035,-0.122,0.044,0.176,0.178,0.183,0.157,0.114,0.111,0.101
159.314,-2.363,-0.567,-0.229,0.337,0.180,0.171,0.175,0.156,0.109,0.105,0.100
159.325,0.688,0.164,-0.117,0.253,0.183,0.185,0.189,0.156,0.124,0.119,0.102
159.336,-3.340,0.290,0.222,0.002,0.198,0.197,0.200,0.163,0.141,0.132,0.111
159.347,3.251,1.501,0.622,0.210,0.198,0.227,0.230,0.174,0.171,0.162,0.123
159.358,-7.002,-0.094,0.679,0.128,0.204,0.215,0.218,0.186,0.161,0.150,0.136
159.369,-3.462,-0.063,0.491,0.086,0.205,0.222,0.226,0.190,0.169,0.158,0.141
159.380,2.641,0.462,0.256,0.211,0.197,0.229,0.233,0.191,0.174,0.166,0.142
159.391,5.327,1.397,0.639,0.252,0.195,0.270,0.274,0.204,0.213,0.206,0.155
159.402,-3.462,1.534,1.086,0.086,0.194,0.284,0.288,0.221,0.225,0.219,0.172
159.413,0.810,0.993,1.127,0.210,0.195,0.286,0.291,0.236,0.226,0.220,0.186
159.424,-4.438,1.046,1.064,0.128,0.185,0.301,0.307,0.248,0.237,0.234,0.197
159.435,-6.636,-1.280,0.441,0.254,0.185,0.263,0.269,0.250,0.197,0.194,0.198
159.446,0.932,0.164,-0.101,0.210,0.191,0.267,0.273,0.241,0.202,0.197,0.187
159.457,-3.218,0.281,0.174,0.169,0.192,0.275,0.281,0.246,0.208,0.204,0.192
159.468,2.275,-0.796,-0.116,0.169,0.199,0.251,0.257,0.244,0.186,0.179,0.189
159.479,-0.288,-0.143,-0.042,0.169,0.212,0.263,0.268,0.244,0.201,0.190,0.188
159.490,-0.776,0.418,0.069,0.169,0.199,0.270,0.276,0.246,0.204,0.198,0.190
159.501,0.932,0.479,0.299,0.044,0.199,0.296,0.302,0.255,0.228,0.222,0.197
159.512,-4.683,-1.271,-0.345,0.421,0.201,0.251,0.257,0.247,0.183,0.176,0.189
159.523,-0.776,-0.372,-0.687,0.128,0.208,0.241,0.247,0.235,0.175,0.167,0.176
159.534,6.059,1.220,0.035,0.127,0.203,0.278,0.285,0.242,0.211,0.204,0.184
159.545,1.542,1.061,0.540,0.335,0.204,0.278,0.285,0.254,0.210,0.204,0.195
159.555,5.327,1.168,0.683,0.169,0.207,0.292,0.299,0.266,0.224,0.217,0.205
159.566,-5.171,-0.780,0.479,0.378,0.208,0.268,0.275,0.272,0.199,0.192,0.211
159.577,-5.659,-1.089,0.018,0.293,0.215,0.261,0.268,0.266,0.194,0.184,0.203
159.588,-3.096,-1.469,-0.489,0.128,0.210,0.240,0.247,0.253,0.171,0.164,0.190
159.599,-1.020,-1.835,-0.949,0.169,0.223,0.219,0.225,0.237,0.153,0.142,0.173
159.610,-3.096,-1.532,-1.099,0.169,0.219,0.220,0.227,0.224,0.155,0.144,0.160
159.620,-5.659,-1.266,-1.102,0.294,0.223,0.218,0.225,0.212,0.154,0.143,0.149
159.631,-0.410,-1.145,-1.057,0.086,0.212,0.220,0.227,0.203,0.153,0.145,0.141
159.642,2.641,-1.119,-1.162,0.212,0.211,0.200,0.208,0.190,0.133,0.127,0.128
159.653,-4.072,-1.125,-1.131,0.253,0.209,0.192,0.201,0.180,0.126,0.120,0.119
159.664,4.960,0.288,-0.884,-0.376,0.192,0.205,0.215,0.174,0.136,0.135,0.113
