R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,64.0,0.000100,0.003000,50,40,160,30,0,155,300,0,0,0.995
sysTime,GRawX,GPT1X,GPT2X,aRawR,aPT1R,aKFRawR,aKFPT10R,aKFPT11R,aCFRawR,aCFPT10R,aCFPT11R
459.649,1.298,1.450,1.050,0.127,0.092,-0.071,-0.081,-0.093,0.099,0.095,0.079
459.660,4.106,1.237,1.028,0.251,0.095,-0.054,-0.064,-0.079,0.116,0.111,0.092
459.671,3.129,1.087,1.016,0.044,0.089,-0.040,-0.050,-0.066,0.126,0.123,0.104
459.682,2.275,0.499,0.889,0.086,0.088,-0.030,-0.040,-0.054,0.133,0.131,0.113
459.693,2.519,0.964,0.716,0.085,0.094,-0.028,-0.038,-0.049,0.134,0.130,0.117
459.704,3.251,1.125,0.735,0.127,0.101,-0.025,-0.035,-0.040,0.138,0.132,0.124
459.715,4.106,1.631,0.972,0.294,0.101,0.004,-0.005,-0.025,0.165,0.159,0.137
459.726,-0.532,0.513,0.928,0.169,0.099,-0.010,-0.020,-0.014,0.147,0.141,0.146
459.737,5.815,0.566,0.434,-0.039,0.088,-0.010,-0.019,-0.012,0.141,0.140,0.144
459.748,-3.096,0.445,0.484,0.044,0.085,-0.007,-0.016,-0.006,0.141,0.141,0.148
459.759,-4.194,0.338,0.422,0.086,0.082,0.003,-0.004,-0.000,0.149,0.149,0.151
459.769,-2.607,0.639,0.521,0.252,0.091,0.019,0.010,0.006,0.164,0.161,0.155
459.780,-0.166,-0.649,0.023,0.210,0.091,-0.012,-0.020,0.003,0.130,0.127,0.149
459.791,-0.410,-1.161,-0.541,0.210,0.093,-0.040,-0.048,-0.007,0.101,0.098,0.135
459.802,2.031,0.580,-0.190,0.253,0.091,-0.012,-0.020,-0.008,0.127,0.124,0.132
459.813,-1.387,-0.287,-0.134,0.085,0.101,-0.021,-0.029,-0.006,0.119,0.113,0.132
459.824,3.984,-0.834,-0.689,0.085,0.103,-0.075,-0.084,-0.020,0.065,0.059,0.116
459.835,0.444,-0.082,-0.515,0.044,0.104,-0.055,-0.063,-0.023,0.085,0.079,0.112
459.846,2.397,1.255,-0.086,0.336,0.096,-0.046,-0.054,-0.021,0.091,0.088,0.113
459.857,-3.706,0.254,0.278,-0.080,0.088,-0.060,-0.067,-0.012,0.075,0.075,0.120
459.868,1.054,0.895,0.396,-0.080,0.083,-0.044,-0.051,-0.007,0.089,0.090,0.124
459.879,3.495,1.178,0.625,0.127,0.094,-0.043,-0.051,0.001,0.092,0.089,0.130
459.890,9.721,2.109,1.097,0.252,0.093,-0.002,-0.009,0.019,0.130,0.129,0.146
459.901,-1.142,0.411,1.087,0.002,0.088,-0.008,-0.014,0.035,0.122,0.122,0.159
459.912,0.444,1.022,0.890,0.002,0.085,0.003,-0.002,0.042,0.131,0.131,0.162
459.923,4.960,1.833,1.120,0.254,0.092,0.030,0.024,0.056,0.157,0.155,0.173
459.933,2.153,1.885,1.317,0.211,0.096,0.038,0.032,0.073,0.164,0.161,0.187
459.944,-0.410,0.299,1.031,0.085,0.100,0.030,0.023,0.085,0.154,0.150,0.195
459.955,1.176,-0.559,0.394,0.294,0.102,0.008,0.001,0.083,0.130,0.126,0.189
459.966,-1.997,0.262,0.184,0.044,0.103,0.020,0.014,0.081,0.141,0.136,0.184
459.977,-8.223,-0.601,0.065,0.044,0.103,0.002,-0.003,0.081,0.121,0.117,0.181
459.988,0.077,0.025,-0.029,0.086,0.098,0.002,-0.003,0.078,0.118,0.115,0.175
459.999,3.618,-0.378,-0.298,0.210,0.096,-0.014,-0.019,0.073,0.101,0.098,0.167
460.010,-0.410,-0.753,-0.364,0.127,0.097,-0.019,-0.025,0.069,0.094,0.092,0.160
460.021,1.909,-0.276,-0.468,-0.080,0.098,-0.034,-0.040,0.061,0.079,0.077,0.150
460.032,-1.997,-0.491,-0.552,0.085,0.104,-0.054,-0.060,0.054,0.061,0.057,0.141
460.043,-0.898,-0.598,-0.665,0.044,0.107,-0.052,-0.058,0.047,0.064,0.059,0.133
460.054,-5.171,-0.994,-0.544,0.210,0.109,-0.060,-0.066,0.043,0.058,0.052,0.128
460.065,1.909,-0.788,-0.672,0.044,0.108,-0.057,-0.062,0.036,0.061,0.056,0.119
460.076,-3.096,-0.609,-0.612,0.169,0.119,-0.063,-0.069,0.029,0.058,0.050,0.112
460.086,-4.560,-0.591,-0.478,0.169,0.108,-0.068,-0.073,0.026,0.051,0.046,0.107
460.097,1.664,-1.119,-0.690,0.252,0.107,-0.072,-0.077,0.019,0.047,0.043,0.100
460.108,1.664,0.751,-0.172,0.127,0.104,-0.041,-0.045,0.020,0.078,0.075,0.100
460.119,1.786,0.859,0.214,0.085,0.110,-0.041,-0.046,0.026,0.079,0.075,0.107
460.130,-5.171,0.478,0.428,0.044,0.108,-0.039,-0.044,0.035,0.080,0.076,0.115
460.141,-5.049,-0.360,0.369,0.044,0.102,-0.047,-0.052,0.040,0.070,0.068,0.119
460.152,5.693,-0.380,-0.026,0.211,0.097,-0.066,-0.070,0.033,0.051,0.050,0.110
460.162,2.885,-0.458,-0.210,-0.039,0.098,-0.068,-0.071,0.029,0.050,0.049,0.106
460.173,0.566,0.125,-0.212,-0.039,0.091,-0.069,-0.072,0.025,0.047,0.048,0.101
460.184,-0.654,-0.964,-0.359,0.211,0.092,-0.092,-0.094,0.021,0.025,0.026,0.097
460.195,-0.410,-0.583,-0.506,0.085,0.092,-0.087,-0.090,0.014,0.030,0.031,0.089
