R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,64.0,0.000100,0.003000,50,30,0,30,0,75,300,0,0,0.995
sysTime,GRawX,GPT1X,GPT2X,aRawR,aPT1R,aKFRawR,aKFPT10R,aKFPT11R,aCFRawR,aCFPT10R,aCFPT11R
55.706,7.643,-0.663,-0.516,-0.332,-0.303,-0.083,-0.083,-0.125,-0.253,-0.256,-0.298
55.717,-4.441,-1.956,-0.958,-0.579,-0.324,-0.133,-0.132,-0.141,-0.309,-0.305,-0.314
55.728,3.859,-0.592,-1.092,-0.332,-0.321,-0.117,-0.116,-0.156,-0.291,-0.288,-0.328
55.739,-1.512,-1.300,-1.071,-0.246,-0.311,-0.147,-0.147,-0.168,-0.318,-0.318,-0.339
55.750,4.225,-0.881,-1.171,-0.248,-0.308,-0.159,-0.158,-0.183,-0.328,-0.329,-0.352
55.761,4.225,0.319,-0.588,-0.205,-0.298,-0.146,-0.146,-0.186,-0.311,-0.315,-0.352
55.772,-3.831,-1.645,-0.874,-0.248,-0.298,-0.197,-0.197,-0.197,-0.359,-0.363,-0.360
55.783,-3.221,-1.580,-0.973,-0.288,-0.305,-0.191,-0.191,-0.208,-0.353,-0.355,-0.369
55.794,5.324,0.121,-0.912,-0.414,-0.303,-0.181,-0.180,-0.220,-0.340,-0.342,-0.378
55.805,-6.272,0.397,-0.169,-0.413,-0.308,-0.174,-0.174,-0.216,-0.333,-0.334,-0.371
55.816,2.882,-0.388,-0.374,-0.537,-0.302,-0.206,-0.206,-0.222,-0.361,-0.363,-0.374
55.827,1.783,0.860,-0.067,-0.248,-0.298,-0.189,-0.189,-0.222,-0.340,-0.344,-0.370
55.838,-0.047,-0.369,-0.004,-0.249,-0.297,-0.205,-0.205,-0.219,-0.353,-0.357,-0.365
55.849,-0.413,0.133,0.089,-0.247,-0.304,-0.198,-0.197,-0.219,-0.346,-0.347,-0.362
55.860,-0.047,0.252,0.148,-0.123,-0.298,-0.201,-0.201,-0.218,-0.345,-0.349,-0.359
55.871,-1.878,-0.245,0.254,-0.081,-0.296,-0.197,-0.197,-0.214,-0.339,-0.343,-0.352
55.882,-1.267,-0.346,-0.043,-0.206,-0.290,-0.203,-0.203,-0.218,-0.341,-0.347,-0.354
55.893,2.638,0.020,-0.206,-0.539,-0.295,-0.197,-0.198,-0.222,-0.335,-0.338,-0.355
55.904,-2.366,-1.107,-0.351,-0.541,-0.298,-0.208,-0.208,-0.225,-0.345,-0.347,-0.356
55.915,5.446,0.367,-0.130,-0.164,-0.286,-0.174,-0.174,-0.226,-0.305,-0.312,-0.354
55.926,-3.587,0.499,0.136,-0.164,-0.271,-0.182,-0.183,-0.223,-0.308,-0.318,-0.348
55.937,1.295,0.189,0.178,-0.499,-0.282,-0.184,-0.185,-0.220,-0.311,-0.318,-0.343
55.948,7.399,-0.639,-0.286,-0.288,-0.287,-0.205,-0.206,-0.226,-0.331,-0.337,-0.346
55.959,-1.023,-0.115,-0.218,-0.372,-0.288,-0.198,-0.199,-0.230,-0.323,-0.328,-0.347
55.970,6.422,-0.518,-0.693,-0.123,-0.278,-0.226,-0.227,-0.241,-0.345,-0.353,-0.356
55.981,-0.779,0.300,-0.345,-0.247,-0.280,-0.213,-0.214,-0.243,-0.331,-0.338,-0.355
55.992,-1.756,0.802,0.391,-0.331,-0.285,-0.183,-0.184,-0.231,-0.301,-0.306,-0.340
56.003,-3.465,-0.296,0.311,-0.247,-0.283,-0.201,-0.202,-0.228,-0.317,-0.322,-0.335
56.014,1.295,0.109,0.298,-0.164,-0.285,-0.181,-0.182,-0.225,-0.296,-0.301,-0.330
56.025,-0.169,-0.356,0.071,-0.331,-0.286,-0.182,-0.183,-0.225,-0.297,-0.301,-0.329
56.036,2.150,-1.174,-0.594,-0.122,-0.278,-0.218,-0.219,-0.239,-0.329,-0.335,-0.340
56.046,-1.145,-1.608,-1.198,-0.415,-0.284,-0.257,-0.258,-0.259,-0.366,-0.371,-0.357
56.057,-2.976,-1.288,-1.381,-0.247,-0.280,-0.290,-0.291,-0.278,-0.394,-0.399,-0.374
56.069,-4.441,-0.758,-1.123,-0.288,-0.281,-0.296,-0.296,-0.290,-0.396,-0.401,-0.382
56.080,2.028,0.140,-0.802,-0.457,-0.275,-0.298,-0.300,-0.297,-0.393,-0.399,-0.385
56.091,-1.512,0.127,-0.155,-0.415,-0.282,-0.297,-0.298,-0.292,-0.390,-0.394,-0.377
56.101,-7.249,-0.571,0.013,-0.331,-0.279,-0.303,-0.304,-0.290,-0.391,-0.396,-0.371
56.112,0.074,-0.231,0.025,-0.373,-0.277,-0.275,-0.276,-0.288,-0.360,-0.365,-0.367
56.123,-1.634,-0.353,-0.175,-0.204,-0.284,-0.300,-0.300,-0.294,-0.383,-0.386,-0.369
56.134,-5.540,-2.675,-0.845,-0.497,-0.289,-0.346,-0.347,-0.307,-0.426,-0.428,-0.379
56.145,-1.512,-1.996,-1.420,-0.205,-0.280,-0.350,-0.351,-0.330,-0.423,-0.427,-0.398
56.156,-0.901,-1.581,-1.442,-0.248,-0.286,-0.354,-0.355,-0.346,-0.425,-0.427,-0.411
56.167,-3.953,-2.200,-1.691,-0.373,-0.287,-0.389,-0.389,-0.366,-0.455,-0.456,-0.427
56.178,9.962,0.505,-1.185,-0.330,-0.286,-0.358,-0.359,-0.377,-0.419,-0.421,-0.433
56.189,0.197,0.209,-0.416,-0.415,-0.298,-0.349,-0.349,-0.371,-0.409,-0.407,-0.422
56.200,4.347,0.023,-0.355,-0.290,-0.309,-0.353,-0.353,-0.372,-0.413,-0.408,-0.420
56.211,0.074,-0.408,-0.296,-0.206,-0.307,-0.363,-0.362,-0.374,-0.418,-0.414,-0.418
56.222,2.516,0.062,-0.218,-0.332,-0.305,-0.347,-0.347,-0.375,-0.399,-0.395,-0.415
56.233,0.319,0.998,0.171,-0.207,-0.291,-0.335,-0.335,-0.370,-0.380,-0.381,-0.407
56.244,-3.343,-0.872,-0.078,-0.498,-0.293,-0.362,-0.363,-0.370,-0.405,-0.405,-0.404
56.255,-3.709,-0.441,-0.145,-0.247,-0.288,-0.347,-0.348,-0.372,-0.385,-0.387,-0.403
56.266,0.563,-0.590,-0.451,-0.205,-0.280,-0.349,-0.349,-0.378,-0.381,-0.385,-0.405
56.277,-2.732,-1.443,-0.742,-0.248,-0.272,-0.362,-0.363,-0.387,-0.389,-0.396,-0.410
56.288,-2.000,-1.219,-0.959,-0.206,-0.269,-0.367,-0.368,-0.400,-0.390,-0.397,-0.418
56.299,-4.197,-1.335,-1.132,-0.164,-0.276,-0.396,-0.397,-0.415,-0.416,-0.421,-0.429
56.310,-1.023,-1.838,-1.464,-0.164,-0.277,-0.425,-0.426,-0.433,-0.441,-0.446,-0.442
56.321,1.417,-2.080,-1.824,-0.416,-0.275,-0.449,-0.450,-0.455,-0.459,-0.464,-0.459
56.332,1.051,-1.653,-1.880,-0.205,-0.267,-0.466,-0.468,-0.475,-0.468,-0.476,-0.474
56.343,-2.000,-0.644,-1.415,-0.373,-0.285,-0.457,-0.457,-0.486,-0.459,-0.460,-0.479
56.354,-4.808,-1.755,-1.187,-0.249,-0.289,-0.493,-0.494,-0.495,-0.490,-0.491,-0.482
56.365,-0.413,-0.880,-1.223,-0.415,-0.285,-0.488,-0.489,-0.509,-0.479,-0.480,-0.490
56.376,2.638,0.491,-0.531,-0.039,-0.283,-0.455,-0.456,-0.506,-0.440,-0.442,-0.482
56.387,-0.901,-0.192,-0.064,-0.288,-0.275,-0.452,-0.453,-0.499,-0.431,-0.435,-0.469
56.398,0.563,0.491,0.189,-0.332,-0.271,-0.425,-0.427,-0.493,-0.400,-0.405,-0.458
56.409,4.347,0.338,0.165,-0.206,-0.266,-0.418,-0.420,-0.489,-0.388,-0.394,-0.449
56.420,5.812,0.713,0.115,-0.288,-0.256,-0.417,-0.419,-0.487,-0.380,-0.390,-0.442
56.431,-1.634,-0.635,0.102,-0.457,-0.273,-0.416,-0.417,-0.481,-0.381,-0.385,-0.431
56.442,2.882,-0.933,-0.669,-0.372,-0.289,-0.452,-0.453,-0.495,-0.418,-0.417,-0.441
56.453,4.591,-0.436,-0.802,-0.080,-0.280,-0.470,-0.471,-0.506,-0.429,-0.431,-0.448
56.464,-0.291,0.682,-0.169,-0.207,-0.280,-0.439,-0.440,-0.501,-0.395,-0.396,-0.438
56.475,-1.634,0.826,0.376,-0.207,-0.274,-0.430,-0.431,-0.490,-0.381,-0.385,-0.424
56.486,-2.854,0.514,0.534,-0.289,-0.280,-0.414,-0.415,-0.479,-0.365,-0.367,-0.410
56.497,0.929,0.903,0.654,-0.290,-0.274,-0.398,-0.399,-0.470,-0.346,-0.349,-0.397
56.508,1.051,0.252,0.639,-0.164,-0.279,-0.400,-0.400,-0.461,-0.347,-0.348,-0.385
56.519,3.248,0.199,0.412,-0.541,-0.283,-0.391,-0.391,-0.457,-0.338,-0.338,-0.379
56.530,-3.587,-1.298,-0.253,-0.080,-0.275,-0.424,-0.425,-0.463,-0.367,-0.370,-0.383
56.540,3.370,-0.675,-0.744,-0.331,-0.273,-0.431,-0.432,-0.476,-0.371,-0.374,-0.394
56.552,2.272,-0.699,-0.794,-0.374,-0.268,-0.435,-0.437,-0.483,-0.371,-0.376,-0.397
56.563,1.539,-0.187,-0.555,-0.122,-0.265,-0.420,-0.422,-0.485,-0.353,-0.359,-0.396
56.574,4.103,0.351,-0.238,0.002,-0.262,-0.414,-0.416,-0.484,-0.344,-0.351,-0.392
56.584,-2.000,-0.664,-0.170,-0.039,-0.259,-0.415,-0.417,-0.480,-0.343,-0.350,-0.386
