R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,32.0,0.000100,0.003000,20,0,0,0,0,10,75,0,0
sysTime,GRawX,GPT1X,GPT2X,aRawR,aPT1R,aPT2R,aKFRawR,aKFPT10R,aKFPT20R,aKFPT11R,aKFPT21R,aKFPT22R
219.985,6.605,0.136,0.100,0.585,0.497,0.489,0.538,0.536,0.535,0.503,0.502,0.506
219.996,0.135,-0.023,-0.014,0.503,0.488,0.489,0.512,0.511,0.510,0.496,0.495,0.503
220.006,-1.695,0.020,-0.004,0.421,0.480,0.488,0.500,0.499,0.498,0.492,0.491,0.499
220.017,-0.475,-0.239,-0.021,0.462,0.482,0.487,0.494,0.493,0.492,0.488,0.487,0.495
220.028,2.088,-0.429,-0.188,0.795,0.485,0.486,0.474,0.473,0.472,0.479,0.478,0.490
220.039,3.187,-0.279,-0.357,0.590,0.488,0.486,0.463,0.461,0.460,0.469,0.468,0.483
220.049,-4.015,-0.462,-0.251,0.463,0.478,0.485,0.458,0.457,0.456,0.464,0.463,0.477
220.060,-3.038,-1.350,-0.540,0.589,0.493,0.485,0.433,0.432,0.431,0.452,0.451,0.469
220.071,0.135,-0.865,-0.753,0.461,0.486,0.486,0.421,0.420,0.419,0.436,0.435,0.458
220.081,0.867,-0.735,-0.773,0.378,0.463,0.483,0.407,0.407,0.406,0.423,0.422,0.447
220.092,0.867,-0.009,-0.633,0.461,0.450,0.479,0.413,0.414,0.413,0.415,0.414,0.435
220.103,3.309,0.178,-0.365,0.337,0.458,0.477,0.419,0.419,0.418,0.412,0.412,0.427
220.113,1.600,0.374,-0.163,0.504,0.443,0.473,0.421,0.421,0.421,0.411,0.410,0.421
220.124,5.140,0.471,0.049,0.628,0.455,0.470,0.425,0.425,0.425,0.412,0.411,0.417
220.135,2.943,1.222,0.350,0.462,0.452,0.467,0.441,0.442,0.441,0.416,0.416,0.416
220.146,2.088,1.179,0.720,0.336,0.451,0.466,0.461,0.461,0.461,0.428,0.428,0.418
220.156,2.698,0.940,0.754,0.380,0.465,0.466,0.454,0.454,0.453,0.433,0.433,0.423
220.167,-5.968,-0.253,0.544,0.294,0.463,0.467,0.419,0.419,0.419,0.433,0.432,0.427
220.178,-0.841,-0.845,0.145,0.671,0.467,0.466,0.405,0.405,0.405,0.425,0.425,0.427
220.188,5.384,-0.312,-0.215,0.544,0.476,0.466,0.399,0.398,0.398,0.413,0.412,0.423
220.199,3.187,0.285,-0.022,0.378,0.475,0.468,0.431,0.431,0.430,0.413,0.413,0.419
220.210,4.041,1.172,0.306,0.548,0.461,0.467,0.462,0.462,0.462,0.418,0.418,0.417
220.220,2.943,1.277,0.702,0.421,0.467,0.467,0.483,0.483,0.483,0.430,0.430,0.419
220.231,1.966,0.406,0.659,0.503,0.465,0.466,0.475,0.475,0.475,0.435,0.435,0.424
220.242,1.478,0.057,0.518,0.337,0.463,0.466,0.478,0.478,0.478,0.436,0.436,0.427
220.252,-1.817,0.605,0.531,0.547,0.471,0.466,0.491,0.491,0.491,0.437,0.437,0.429
220.263,0.867,0.893,0.567,0.422,0.480,0.468,0.503,0.502,0.502,0.441,0.441,0.431
220.274,4.774,1.058,0.660,0.378,0.462,0.468,0.507,0.507,0.507,0.446,0.446,0.434
220.285,0.989,1.417,0.858,0.503,0.463,0.467,0.516,0.516,0.516,0.454,0.454,0.439
220.295,0.623,0.838,0.863,0.337,0.455,0.467,0.503,0.503,0.503,0.460,0.460,0.445
220.306,4.530,0.487,0.749,0.336,0.451,0.465,0.504,0.504,0.504,0.464,0.464,0.450
220.317,-4.137,-0.793,0.315,0.543,0.466,0.464,0.465,0.465,0.465,0.458,0.457,0.452
220.327,11.976,1.288,0.375,0.632,0.470,0.464,0.508,0.507,0.507,0.456,0.456,0.452
220.338,0.745,0.919,0.548,0.377,0.469,0.465,0.492,0.492,0.491,0.461,0.461,0.453
220.349,-2.672,-0.277,0.379,0.419,0.467,0.466,0.459,0.459,0.458,0.460,0.460,0.455
220.359,1.966,1.080,0.468,0.463,0.474,0.467,0.495,0.494,0.494,0.462,0.461,0.456
220.370,-6.822,-0.167,0.452,0.631,0.483,0.468,0.459,0.458,0.458,0.463,0.463,0.457
220.381,-3.160,-0.919,0.017,0.379,0.477,0.470,0.429,0.428,0.428,0.453,0.452,0.456
220.391,7.948,-0.015,-0.221,0.798,0.476,0.470,0.431,0.431,0.430,0.442,0.441,0.451
220.402,-1.085,0.313,0.016,0.295,0.462,0.470,0.442,0.442,0.441,0.442,0.442,0.447
220.413,-0.841,-0.212,-0.052,0.419,0.459,0.468,0.423,0.424,0.423,0.437,0.437,0.443
220.424,-2.916,-0.671,-0.169,0.629,0.465,0.467,0.404,0.404,0.404,0.430,0.430,0.439
220.434,1.600,-0.046,-0.190,0.295,0.464,0.468,0.417,0.417,0.417,0.424,0.424,0.433
220.445,-1.939,-0.159,-0.111,0.461,0.457,0.466,0.405,0.406,0.405,0.420,0.420,0.428
220.456,2.821,0.727,-0.025,0.420,0.452,0.464,0.399,0.400,0.399,0.415,0.415,0.423
220.466,-2.794,0.252,0.195,0.460,0.443,0.461,0.392,0.393,0.393,0.418,0.418,0.421
220.477,-2.550,-0.318,0.199,0.501,0.447,0.459,0.391,0.391,0.391,0.418,0.418,0.420
220.488,4.163,-0.084,0.025,0.379,0.445,0.457,0.393,0.394,0.394,0.412,0.412,0.418
220.498,2.454,1.287,0.296,0.295,0.444,0.456,0.431,0.432,0.432,0.415,0.416,0.416
220.509,-3.038,0.529,0.570,0.418,0.448,0.455,0.434,0.435,0.435,0.425,0.425,0.418
220.520,6.727,-0.293,0.260,0.254,0.430,0.453,0.419,0.420,0.421,0.421,0.422,0.419
220.530,-2.916,-0.719,-0.027,0.505,0.463,0.453,0.410,0.410,0.411,0.414,0.414,0.418
220.541,-2.672,-0.299,-0.159,0.504,0.461,0.454,0.425,0.425,0.425,0.407,0.407,0.413
220.552,-5.480,-1.095,-0.294,0.378,0.471,0.457,0.407,0.406,0.406,0.399,0.399,0.408
220.563,-1.451,0.070,-0.265,0.377,0.472,0.460,0.428,0.428,0.428,0.392,0.392,0.401
220.573,-3.526,1.371,0.214,0.461,0.488,0.463,0.459,0.458,0.457,0.397,0.397,0.397
220.584,5.140,0.923,0.397,0.337,0.473,0.466,0.440,0.440,0.440,0.402,0.402,0.397
220.595,6.361,1.218,0.599,0.547,0.469,0.466,0.447,0.446,0.446,0.408,0.408,0.399
220.605,-0.108,-0.187,0.415,0.462,0.463,0.466,0.411,0.410,0.410,0.408,0.408,0.402
220.616,7.703,0.118,0.044,0.546,0.463,0.466,0.391,0.391,0.391,0.398,0.398,0.401
220.627,2.088,1.172,0.347,0.335,0.464,0.465,0.428,0.428,0.427,0.403,0.403,0.400
220.637,-1.695,0.219,0.443,0.505,0.466,0.465,0.422,0.422,0.422,0.409,0.409,0.401
220.648,-6.456,-0.699,0.156,0.546,0.463,0.465,0.387,0.387,0.387,0.402,0.402,0.401
220.659,-0.230,0.803,0.230,0.422,0.455,0.464,0.409,0.410,0.409,0.400,0.400,0.399
220.669,4.774,1.227,0.454,0.547,0.456,0.463,0.425,0.425,0.425,0.405,0.405,0.400
220.680,-1.329,0.800,0.585,0.503,0.466,0.463,0.413,0.412,0.412,0.411,0.411,0.402
220.691,0.135,1.044,0.739,0.588,0.464,0.462,0.437,0.437,0.437,0.419,0.419,0.406
220.701,-1.695,-0.015,0.527,0.379,0.453,0.462,0.408,0.408,0.408,0.419,0.419,0.410
220.712,1.600,0.907,0.581,0.379,0.438,0.459,0.427,0.428,0.428,0.421,0.421,0.412
220.723,-4.625,1.118,0.880,0.338,0.437,0.456,0.449,0.450,0.451,0.431,0.432,0.417
220.734,-2.306,1.270,1.083,0.378,0.452,0.456,0.471,0.472,0.472,0.444,0.444,0.425
220.745,-2.061,0.466,0.948,0.420,0.461,0.456,0.457,0.457,0.457,0.449,0.449,0.433
220.757,3.553,0.876,0.827,0.795,0.468,0.457,0.467,0.467,0.467,0.451,0.451,0.439
220.768,7.459,1.735,1.021,0.462,0.467,0.458,0.517,0.516,0.517,0.464,0.464,0.446
220.779,1.722,1.263,1.121,0.422,0.455,0.458,0.510,0.511,0.511,0.476,0.476,0.454
220.791,-1.329,0.184,0.982,0.547,0.456,0.457,0.489,0.490,0.490,0.481,0.481,0.463
220.802,6.605,0.490,0.718,0.337,0.449,0.457,0.488,0.489,0.489,0.478,0.478,0.468
