R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry
175,25,1900,200,25,2100,500,120,0,0,0,0,7,75,10,10.0,32.0,0.000100,0.003000,20,40,1,40,1,10,75,0,0
sysTime,GRawX,GPT1X,GPT2X,aRawR,aPT1R,aPT2R,aKFRawR,aKFPT10R,aKFPT20R,aKFPT11R,aKFPT21R,aKFPT22R
516.035,-0.230,1.037,1.232,0.501,0.396,0.384,0.374,0.371,0.371,0.374,0.373,0.363
516.045,-1.573,0.007,0.952,0.128,0.396,0.386,0.348,0.345,0.344,0.374,0.373,0.369
516.056,-2.672,0.921,0.883,0.211,0.383,0.387,0.361,0.358,0.357,0.374,0.373,0.372
516.067,4.774,2.101,1.126,0.545,0.398,0.387,0.385,0.382,0.381,0.382,0.381,0.377
516.077,-6.212,1.171,1.360,0.337,0.412,0.391,0.384,0.380,0.379,0.395,0.394,0.384
516.088,0.135,0.966,1.249,0.503,0.432,0.396,0.391,0.387,0.385,0.402,0.400,0.393
516.099,5.994,1.450,1.216,0.295,0.421,0.400,0.406,0.402,0.400,0.408,0.406,0.400
516.109,0.257,2.460,1.580,0.419,0.409,0.402,0.434,0.431,0.429,0.422,0.421,0.408
516.120,1.722,1.721,1.647,0.423,0.410,0.403,0.443,0.439,0.437,0.438,0.436,0.420
516.131,-3.893,0.325,1.413,0.379,0.395,0.403,0.422,0.420,0.418,0.445,0.443,0.431
516.141,3.187,0.936,1.143,0.420,0.378,0.400,0.421,0.419,0.418,0.444,0.442,0.437
516.152,0.135,0.259,0.785,0.252,0.367,0.396,0.390,0.388,0.386,0.439,0.438,0.441
516.163,-0.475,0.594,0.744,0.253,0.359,0.391,0.414,0.413,0.412,0.441,0.440,0.443
516.173,1.966,0.528,0.610,0.379,0.358,0.387,0.409,0.408,0.407,0.439,0.438,0.444
516.184,3.675,1.099,0.706,0.589,0.358,0.382,0.427,0.426,0.425,0.441,0.441,0.445
516.195,6.605,1.594,0.850,0.378,0.357,0.379,0.427,0.426,0.425,0.445,0.444,0.446
516.205,3.187,0.907,0.756,0.254,0.347,0.375,0.387,0.386,0.386,0.444,0.444,0.448
516.216,3.187,0.368,0.692,0.169,0.340,0.370,0.383,0.382,0.382,0.446,0.445,0.450
516.227,2.821,1.118,0.714,0.294,0.345,0.367,0.395,0.394,0.394,0.446,0.445,0.450
516.237,-4.259,1.013,0.865,0.294,0.362,0.366,0.398,0.397,0.396,0.451,0.451,0.452
516.248,0.745,1.188,0.876,0.418,0.350,0.364,0.394,0.393,0.393,0.453,0.453,0.455
516.258,4.774,1.404,1.028,0.253,0.362,0.363,0.399,0.398,0.398,0.459,0.459,0.458
516.269,0.623,1.255,1.200,0.336,0.345,0.361,0.416,0.415,0.415,0.469,0.469,0.464
516.280,-2.184,0.810,1.183,0.377,0.348,0.359,0.408,0.407,0.407,0.474,0.474,0.470
516.290,4.285,2.667,1.524,0.504,0.368,0.359,0.464,0.462,0.462,0.487,0.487,0.477
516.301,1.966,1.158,1.525,0.463,0.387,0.362,0.449,0.446,0.446,0.499,0.500,0.487
516.312,10.389,1.528,1.322,0.420,0.390,0.366,0.442,0.440,0.440,0.502,0.502,0.495
516.322,1.478,0.496,1.053,0.294,0.379,0.369,0.415,0.412,0.412,0.503,0.503,0.501
516.333,1.722,0.985,0.927,0.378,0.370,0.369,0.422,0.420,0.420,0.503,0.503,0.504
516.344,1.966,0.776,0.915,0.378,0.364,0.369,0.427,0.425,0.425,0.506,0.506,0.508
516.354,-2.794,-0.053,0.611,0.211,0.352,0.367,0.406,0.404,0.404,0.502,0.502,0.509
516.365,2.332,0.717,0.589,0.379,0.372,0.367,0.427,0.425,0.425,0.501,0.500,0.508
516.376,-0.475,0.491,0.589,0.547,0.384,0.368,0.420,0.418,0.417,0.500,0.500,0.507
516.386,-0.963,-0.315,0.326,0.629,0.381,0.370,0.388,0.386,0.386,0.492,0.492,0.506
516.397,0.379,0.704,0.368,0.378,0.375,0.371,0.399,0.397,0.397,0.488,0.487,0.502
516.408,-3.038,0.713,0.520,0.378,0.376,0.372,0.396,0.393,0.393,0.488,0.488,0.499
516.418,1.356,0.290,0.466,0.421,0.369,0.371,0.386,0.384,0.384,0.486,0.486,0.498
516.429,-1.573,-0.676,0.261,0.377,0.376,0.371,0.375,0.372,0.372,0.481,0.481,0.496
516.440,2.821,0.415,0.213,0.336,0.369,0.372,0.412,0.410,0.409,0.476,0.476,0.491
516.450,3.797,1.340,0.487,0.337,0.379,0.372,0.435,0.432,0.432,0.478,0.478,0.488
516.461,0.257,0.291,0.439,0.295,0.366,0.372,0.402,0.400,0.400,0.477,0.476,0.486
516.472,-1.695,-0.176,0.233,0.295,0.354,0.370,0.381,0.380,0.379,0.469,0.469,0.483
516.482,3.187,0.385,0.188,0.337,0.356,0.368,0.376,0.375,0.375,0.462,0.462,0.478
516.493,5.750,2.123,0.701,0.294,0.356,0.367,0.431,0.430,0.430,0.470,0.470,0.475
516.504,4.652,2.507,1.336,0.545,0.376,0.367,0.463,0.460,0.460,0.488,0.488,0.480
516.514,8.192,1.909,1.538,0.419,0.368,0.367,0.456,0.454,0.454,0.502,0.502,0.488
516.525,2.943,1.858,1.656,0.294,0.362,0.366,0.460,0.458,0.458,0.514,0.514,0.499
516.536,6.971,1.494,1.519,0.545,0.370,0.366,0.453,0.451,0.450,0.521,0.521,0.509
516.546,-4.503,1.106,1.464,0.504,0.368,0.365,0.450,0.448,0.448,0.529,0.529,0.517
516.557,-0.108,1.326,1.449,0.254,0.378,0.367,0.467,0.464,0.464,0.536,0.536,0.526
516.567,-3.282,0.539,1.277,0.422,0.381,0.369,0.456,0.453,0.453,0.541,0.540,0.533
516.578,2.210,0.803,1.045,0.418,0.373,0.369,0.461,0.459,0.459,0.540,0.540,0.538
516.589,0.623,0.505,0.862,0.295,0.372,0.370,0.465,0.463,0.463,0.541,0.540,0.541
516.599,4.896,0.243,0.587,0.252,0.362,0.370,0.454,0.453,0.453,0.536,0.535,0.542
516.610,3.187,0.888,0.593,0.253,0.362,0.369,0.468,0.467,0.467,0.534,0.534,0.541
516.621,0.013,0.126,0.567,0.462,0.358,0.367,0.448,0.446,0.446,0.533,0.533,0.540
516.631,-1.451,0.124,0.398,0.212,0.341,0.364,0.439,0.438,0.438,0.526,0.526,0.538
516.642,-3.404,0.014,0.260,0.590,0.347,0.361,0.418,0.417,0.417,0.518,0.518,0.533
516.653,1.966,-0.317,0.007,0.421,0.353,0.359,0.401,0.400,0.400,0.508,0.508,0.528
516.663,0.013,-0.383,-0.028,0.211,0.336,0.357,0.409,0.409,0.409,0.501,0.501,0.521
516.674,1.966,-0.325,-0.251,0.337,0.340,0.355,0.386,0.385,0.385,0.486,0.487,0.511
516.685,3.553,-0.439,-0.284,0.379,0.345,0.353,0.373,0.372,0.373,0.476,0.476,0.501
516.695,0.135,-0.296,-0.367,0.670,0.363,0.353,0.366,0.364,0.365,0.463,0.464,0.491
