R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry
175,25,1900,200,25,2100,500,120,0,0,0,0,7,75,10,10.0,32.0,0.000100,0.003000,20,70,1,70,1,10,75,0,0
sysTime,GRawX,GPT1X,GPT2X,aRawR,aPT1R,aPT2R,aKFRawR,aKFPT10R,aKFPT20R,aKFPT11R,aKFPT21R,aKFPT22R
677.499,-1.939,-0.548,-0.756,0.379,0.578,0.583,0.361,0.362,0.361,0.379,0.379,0.393
677.509,-3.526,-0.607,-0.611,0.545,0.585,0.583,0.371,0.372,0.371,0.374,0.374,0.384
677.520,6.971,0.233,-0.532,0.671,0.589,0.583,0.371,0.371,0.371,0.366,0.366,0.375
677.531,3.675,1.110,-0.083,0.711,0.615,0.587,0.388,0.388,0.387,0.370,0.369,0.369
677.541,2.943,0.346,-0.008,0.632,0.607,0.590,0.352,0.351,0.351,0.369,0.368,0.366
677.552,-3.404,0.067,0.073,0.796,0.611,0.592,0.343,0.342,0.342,0.369,0.368,0.364
677.563,5.872,-0.313,-0.057,0.587,0.604,0.594,0.341,0.341,0.340,0.366,0.365,0.362
677.573,4.041,0.057,-0.032,0.756,0.607,0.595,0.364,0.364,0.363,0.365,0.364,0.360
677.584,-1.329,-0.090,-0.016,0.543,0.602,0.596,0.364,0.364,0.363,0.363,0.362,0.358
677.595,0.013,-0.712,-0.272,0.714,0.607,0.597,0.345,0.345,0.344,0.356,0.355,0.354
677.605,-0.597,-0.874,-0.434,0.587,0.590,0.597,0.327,0.327,0.326,0.346,0.345,0.349
677.616,3.065,-0.700,-0.638,0.503,0.572,0.595,0.305,0.306,0.306,0.332,0.331,0.341
677.627,1.234,0.574,-0.238,0.546,0.574,0.592,0.342,0.343,0.343,0.333,0.332,0.334
