R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry
175,25,1900,200,25,2100,500,120,0,0,0,0,7,75,10,10.0,32.0,0.000100,0.003000,20,60,1,60,1,10,75,0,0
sysTime,GRawX,GPT1X,GPT2X,aRawR,aPT1R,aPT2R,aKFRawR,aKFPT10R,aKFPT20R,aKFPT11R,aKFPT21R,aKFPT22R
632.980,4.530,2.189,1.238,0.711,0.713,0.697,0.789,0.788,0.787,0.745,0.745,0.724
632.990,-2.794,1.139,1.377,0.628,0.701,0.698,0.790,0.789,0.789,0.761,0.761,0.735
633.001,1.844,0.805,1.182,0.713,0.701,0.699,0.788,0.787,0.787,0.768,0.768,0.746
633.012,-5.480,0.491,1.042,0.875,0.708,0.699,0.782,0.781,0.781,0.773,0.772,0.755
633.022,-5.602,0.793,0.986,0.798,0.710,0.700,0.795,0.794,0.793,0.778,0.778,0.762
633.033,2.454,-0.372,0.480,0.631,0.713,0.702,0.765,0.764,0.763,0.774,0.773,0.767
633.044,-4.747,-1.142,0.039,0.800,0.741,0.707,0.740,0.737,0.737,0.764,0.764,0.767
633.054,1.478,-0.884,-0.370,0.839,0.749,0.713,0.740,0.738,0.737,0.751,0.750,0.762
633.065,-4.625,-0.924,-0.459,0.503,0.734,0.717,0.741,0.739,0.738,0.742,0.741,0.755
633.076,0.379,-0.338,-0.566,0.752,0.720,0.718,0.726,0.725,0.724,0.730,0.728,0.746
633.086,3.553,0.355,-0.352,0.966,0.729,0.719,0.733,0.731,0.730,0.726,0.724,0.738
633.097,1.722,0.730,-0.004,0.672,0.694,0.716,0.749,0.749,0.748,0.729,0.728,0.733
633.108,-7.921,-0.100,0.245,0.963,0.701,0.713,0.745,0.745,0.744,0.734,0.733,0.732
633.118,0.867,-0.412,-0.050,0.461,0.681,0.710,0.724,0.724,0.724,0.726,0.725,0.730
633.129,0.867,-0.597,-0.202,0.672,0.677,0.705,0.723,0.723,0.723,0.719,0.718,0.726
633.140,0.867,0.196,-0.139,0.545,0.669,0.701,0.740,0.740,0.740,0.715,0.714,0.721
633.150,1.600,0.175,-0.029,0.840,0.665,0.695,0.734,0.735,0.735,0.713,0.713,0.718
633.161,-2.916,-0.127,-0.077,0.671,0.660,0.690,0.719,0.720,0.720,0.709,0.709,0.714
633.172,-2.672,-0.143,-0.081,0.754,0.663,0.686,0.710,0.711,0.711,0.704,0.704,0.710
633.182,2.454,-0.319,-0.127,0.755,0.675,0.684,0.716,0.716,0.717,0.701,0.701,0.707
633.193,4.407,1.144,0.138,0.876,0.696,0.684,0.758,0.757,0.757,0.703,0.703,0.703
633.204,-2.428,0.745,0.520,0.420,0.679,0.685,0.766,0.767,0.767,0.713,0.713,0.704
633.214,1.478,0.463,0.441,0.590,0.676,0.684,0.753,0.753,0.753,0.714,0.714,0.707
633.225,6.849,0.545,0.319,0.881,0.684,0.683,0.759,0.759,0.759,0.713,0.714,0.708
633.236,5.872,0.532,0.365,0.715,0.666,0.682,0.758,0.759,0.760,0.715,0.716,0.709
633.246,8.680,1.298,0.429,0.794,0.669,0.679,0.764,0.764,0.765,0.717,0.717,0.710
633.257,0.135,0.877,0.671,0.587,0.658,0.677,0.757,0.758,0.759,0.725,0.725,0.713
633.267,3.553,1.833,1.001,0.587,0.663,0.675,0.805,0.806,0.807,0.738,0.739,0.719
633.278,1.600,0.073,0.753,0.755,0.695,0.677,0.769,0.768,0.769,0.742,0.743,0.726
633.289,-0.841,-0.795,0.185,0.715,0.700,0.680,0.722,0.722,0.722,0.731,0.732,0.727
633.299,-4.625,-1.282,-0.251,0.712,0.700,0.683,0.708,0.707,0.707,0.719,0.719,0.724
633.310,-2.550,-1.210,-0.526,0.797,0.710,0.685,0.708,0.707,0.707,0.706,0.706,0.717
633.321,-4.015,-0.958,-0.682,0.669,0.703,0.688,0.696,0.696,0.696,0.693,0.693,0.707
633.331,-3.038,0.171,-0.315,0.587,0.681,0.688,0.727,0.727,0.727,0.691,0.691,0.699
633.342,0.013,-1.417,-0.636,0.631,0.678,0.686,0.680,0.680,0.680,0.679,0.679,0.692
633.353,0.867,0.077,-0.523,0.673,0.650,0.682,0.710,0.712,0.712,0.671,0.671,0.682
633.363,1.722,-0.230,-0.459,0.590,0.648,0.678,0.697,0.698,0.699,0.665,0.665,0.674
633.374,4.041,1.025,-0.049,0.671,0.659,0.674,0.720,0.722,0.722,0.666,0.667,0.669
633.385,3.187,0.607,0.260,0.842,0.680,0.674,0.722,0.722,0.723,0.673,0.673,0.668
633.395,2.576,0.617,0.355,0.798,0.704,0.677,0.722,0.721,0.722,0.675,0.676,0.668
633.406,1.478,0.399,0.411,0.628,0.714,0.682,0.727,0.726,0.726,0.679,0.680,0.670
633.417,-7.921,0.719,0.652,0.925,0.711,0.686,0.747,0.746,0.746,0.687,0.687,0.673
633.427,4.163,1.303,0.709,0.794,0.702,0.689,0.747,0.746,0.746,0.691,0.691,0.677
633.438,-2.672,1.025,0.790,0.670,0.701,0.690,0.727,0.726,0.726,0.697,0.697,0.682
633.449,-4.381,0.463,0.744,0.502,0.683,0.690,0.718,0.718,0.718,0.702,0.702,0.687
633.459,1.722,1.751,1.024,0.712,0.682,0.689,0.761,0.761,0.761,0.713,0.713,0.694
633.470,-1.085,0.783,1.048,0.714,0.693,0.690,0.750,0.750,0.750,0.723,0.723,0.702
633.481,1.234,1.114,1.113,0.794,0.716,0.692,0.781,0.779,0.779,0.733,0.733,0.711
633.491,1.111,0.549,1.034,0.585,0.701,0.694,0.774,0.774,0.773,0.740,0.740,0.720
633.502,-4.137,-0.359,0.743,0.628,0.698,0.695,0.759,0.759,0.759,0.741,0.741,0.727
633.512,-1.817,0.228,0.537,0.587,0.684,0.694,0.776,0.776,0.776,0.740,0.739,0.730
633.523,3.919,2.008,0.819,0.794,0.696,0.694,0.810,0.810,0.809,0.746,0.746,0.734
633.534,0.623,1.407,1.079,0.795,0.697,0.694,0.801,0.800,0.800,0.759,0.759,0.741
633.545,-1.451,0.763,1.083,0.587,0.687,0.693,0.806,0.806,0.806,0.770,0.770,0.750
633.555,11.366,1.244,0.879,0.589,0.701,0.695,0.814,0.813,0.813,0.772,0.772,0.757
633.566,3.065,1.954,1.209,0.591,0.690,0.695,0.842,0.841,0.841,0.786,0.786,0.765
633.577,4.774,1.436,1.324,0.670,0.669,0.692,0.841,0.842,0.842,0.800,0.800,0.775
633.587,0.257,0.130,0.885,0.919,0.688,0.689,0.795,0.795,0.795,0.799,0.799,0.784
633.598,-1.329,0.788,0.757,0.879,0.695,0.689,0.803,0.802,0.803,0.800,0.800,0.788
633.609,0.013,-0.265,0.515,1.044,0.698,0.688,0.781,0.780,0.780,0.799,0.799,0.792
633.619,-6.456,0.128,0.444,0.503,0.683,0.689,0.783,0.783,0.783,0.797,0.797,0.793
633.630,0.379,0.286,0.201,0.461,0.663,0.687,0.761,0.762,0.762,0.790,0.790,0.793
633.640,7.459,0.942,0.163,0.711,0.658,0.683,0.753,0.754,0.755,0.786,0.786,0.790
633.651,0.257,-0.213,0.147,0.755,0.656,0.679,0.732,0.734,0.734,0.786,0.787,0.789
633.662,1.600,0.757,0.322,0.629,0.656,0.676,0.761,0.762,0.763,0.788,0.788,0.788
633.672,7.703,1.093,0.527,0.753,0.657,0.673,0.786,0.787,0.788,0.794,0.795,0.789
633.683,-1.573,1.360,0.855,0.587,0.653,0.670,0.804,0.806,0.807,0.805,0.806,0.793
