R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry
175,25,1900,200,25,2100,500,120,0,0,0,0,7,75,10,10.0,32.0,0.000100,0.003000,20,5,1,5,1,10,75,0,0
sysTime,GRawX,GPT1X,GPT2X,aRawR,aPT1R,aPT2R,aKFRawR,aKFPT10R,aKFPT20R,aKFPT11R,aKFPT21R,aKFPT22R
309.190,-1.451,-0.704,-0.618,0.255,0.205,0.191,0.114,0.113,0.112,0.136,0.135,0.153
309.200,3.919,0.182,-0.465,0.294,0.215,0.194,0.130,0.129,0.128,0.128,0.128,0.142
309.211,-1.207,0.622,-0.115,0.211,0.214,0.197,0.134,0.132,0.131,0.128,0.127,0.134
309.222,1.844,0.902,0.216,0.254,0.213,0.199,0.137,0.136,0.135,0.131,0.130,0.130
309.232,-4.259,0.941,0.663,0.296,0.213,0.200,0.170,0.169,0.168,0.142,0.141,0.131
309.243,-4.259,0.004,0.600,0.170,0.187,0.200,0.156,0.156,0.155,0.144,0.143,0.134
309.254,-5.235,-0.649,0.336,0.044,0.179,0.198,0.154,0.154,0.154,0.141,0.140,0.135
309.264,3.187,0.087,0.084,0.170,0.177,0.195,0.161,0.161,0.160,0.132,0.131,0.132
309.275,-0.719,-0.736,-0.179,0.210,0.168,0.191,0.134,0.135,0.134,0.122,0.122,0.127
309.286,-2.306,-0.871,-0.457,-0.081,0.151,0.187,0.120,0.121,0.120,0.109,0.108,0.119
309.296,0.135,0.120,-0.356,0.253,0.153,0.182,0.129,0.130,0.130,0.100,0.100,0.110
309.307,-1.207,1.210,0.184,0.169,0.154,0.178,0.159,0.160,0.160,0.105,0.105,0.104
309.318,-0.108,0.869,0.532,0.044,0.145,0.174,0.168,0.170,0.170,0.113,0.113,0.104
309.328,4.896,0.500,0.447,0.044,0.132,0.169,0.153,0.155,0.155,0.113,0.113,0.105
309.339,5.140,0.904,0.579,0.253,0.144,0.165,0.166,0.167,0.168,0.116,0.116,0.106
309.350,3.309,1.568,0.876,-0.039,0.141,0.162,0.191,0.192,0.193,0.125,0.126,0.109
309.360,5.140,0.719,0.769,0.296,0.165,0.161,0.169,0.169,0.170,0.128,0.129,0.114
309.371,-3.038,-0.314,0.602,0.252,0.179,0.163,0.158,0.158,0.159,0.129,0.130,0.117
309.382,3.675,-0.941,0.013,0.128,0.182,0.166,0.127,0.126,0.127,0.116,0.116,0.116
309.392,-3.160,-0.263,-0.120,0.337,0.190,0.168,0.132,0.131,0.132,0.106,0.106,0.110
309.403,4.407,0.512,-0.043,0.337,0.188,0.170,0.139,0.139,0.139,0.101,0.102,0.105
309.414,-5.968,-0.608,-0.061,0.002,0.188,0.173,0.122,0.122,0.122,0.099,0.099,0.100
309.424,6.483,-0.559,-0.365,0.086,0.177,0.175,0.122,0.122,0.122,0.087,0.087,0.094
309.435,-1.573,0.198,-0.139,0.170,0.178,0.175,0.152,0.152,0.152,0.085,0.085,0.087
309.446,4.163,0.789,0.145,0.252,0.172,0.175,0.181,0.181,0.181,0.088,0.088,0.083
309.456,8.070,1.419,0.457,0.128,0.179,0.176,0.199,0.199,0.199,0.094,0.094,0.082
309.467,0.379,1.558,0.809,0.129,0.182,0.177,0.213,0.213,0.213,0.104,0.105,0.084
