R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry
175,25,1900,200,25,2100,500,120,0,0,0,0,7,75,10,10.0,32.0,0.000100,0.003000,20,10,1,10,1,10,75,0,0
sysTime,GRawX,GPT1X,GPT2X,aRawR,aPT1R,aPT2R,aKFRawR,aKFPT10R,aKFPT20R,aKFPT11R,aKFPT21R,aKFPT22R
413.208,2.943,-0.291,0.202,0.212,0.187,0.186,0.441,0.423,0.423,0.414,0.414,0.419
413.219,2.210,0.358,0.263,0.086,0.187,0.186,0.472,0.454,0.454,0.415,0.415,0.418
413.229,-0.841,0.217,0.300,0.044,0.166,0.184,0.466,0.450,0.450,0.416,0.416,0.419
413.240,-1.939,0.676,0.511,0.170,0.167,0.182,0.485,0.468,0.468,0.421,0.421,0.420
413.251,2.210,-0.360,0.239,0.169,0.173,0.181,0.442,0.424,0.425,0.416,0.416,0.421
413.261,3.553,1.062,0.336,0.169,0.179,0.180,0.474,0.456,0.456,0.417,0.417,0.421
413.272,-5.846,-0.221,0.349,0.211,0.178,0.180,0.443,0.425,0.425,0.418,0.419,0.422
413.283,1.844,-0.500,-0.037,0.210,0.179,0.180,0.422,0.404,0.404,0.409,0.409,0.420
413.293,-0.963,-0.756,-0.299,-0.039,0.166,0.179,0.406,0.388,0.388,0.399,0.399,0.415
413.304,4.285,0.314,-0.203,0.169,0.177,0.179,0.429,0.411,0.411,0.394,0.394,0.409
413.315,-3.770,-0.488,-0.228,0.128,0.171,0.178,0.394,0.375,0.375,0.388,0.389,0.404
413.325,3.065,0.333,-0.217,0.462,0.189,0.178,0.404,0.385,0.385,0.383,0.383,0.399
413.336,1.478,1.299,0.261,0.169,0.174,0.178,0.434,0.415,0.415,0.389,0.390,0.396
413.347,-1.817,0.936,0.678,0.169,0.169,0.177,0.456,0.437,0.437,0.403,0.403,0.398
413.357,5.750,1.638,0.975,0.044,0.173,0.176,0.496,0.477,0.478,0.415,0.416,0.405
413.368,4.163,1.335,1.072,-0.080,0.171,0.177,0.490,0.471,0.471,0.426,0.426,0.413
413.379,-0.841,-0.042,0.835,0.253,0.175,0.176,0.461,0.442,0.442,0.429,0.429,0.420
413.390,0.257,0.615,0.676,0.169,0.168,0.175,0.470,0.451,0.451,0.429,0.429,0.425
413.400,-1.573,0.350,0.630,0.086,0.177,0.176,0.465,0.445,0.446,0.431,0.431,0.428
413.411,9.413,0.723,0.408,0.296,0.182,0.176,0.447,0.427,0.427,0.427,0.427,0.430
413.421,-2.428,0.489,0.593,0.170,0.184,0.177,0.452,0.431,0.432,0.433,0.433,0.433
413.432,5.262,0.458,0.470,0.337,0.197,0.179,0.447,0.426,0.426,0.433,0.433,0.435
413.443,-1.573,0.310,0.505,0.253,0.197,0.181,0.450,0.429,0.429,0.436,0.436,0.437
413.453,-2.672,1.073,0.688,0.128,0.195,0.183,0.475,0.454,0.454,0.442,0.442,0.440
413.464,8.436,1.614,0.821,0.211,0.216,0.187,0.491,0.468,0.468,0.450,0.449,0.445
413.475,2.332,0.989,0.823,0.169,0.224,0.192,0.473,0.450,0.450,0.456,0.456,0.450
413.485,5.140,1.351,0.962,0.336,0.217,0.196,0.499,0.476,0.476,0.466,0.465,0.456
413.496,-1.451,1.298,1.071,0.211,0.226,0.200,0.491,0.468,0.467,0.474,0.474,0.464
413.507,6.483,1.307,0.996,0.170,0.215,0.203,0.482,0.459,0.459,0.480,0.479,0.471
413.517,-2.428,1.651,1.343,-0.039,0.199,0.204,0.511,0.489,0.488,0.496,0.495,0.480
413.528,1.356,0.894,1.249,0.169,0.208,0.204,0.516,0.494,0.493,0.507,0.506,0.491
