R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry
175,25,1900,200,25,2100,500,120,0,0,0,0,7,75,10,10.0,32.0,0.000100,0.003000,20,50,1,50,1,10,75,0,0
sysTime,GRawX,GPT1X,GPT2X,aRawR,aPT1R,aPT2R,aKFRawR,aKFPT10R,aKFPT20R,aKFPT11R,aKFPT21R,aKFPT22R
583.247,-6.456,0.481,0.763,-0.039,0.139,0.127,-0.040,-0.041,-0.042,-0.004,-0.005,-0.011
583.258,-5.357,0.382,0.682,0.002,0.135,0.129,-0.049,-0.050,-0.051,-0.003,-0.004,-0.007
583.269,-4.381,1.794,1.139,0.128,0.129,0.129,0.002,0.001,0.001,0.010,0.009,-0.001
583.279,2.332,0.528,0.964,0.085,0.125,0.129,-0.024,-0.024,-0.025,0.015,0.014,0.006
583.290,1.478,0.268,0.696,0.170,0.120,0.128,-0.033,-0.033,-0.034,0.015,0.014,0.011
583.301,-0.597,0.103,0.495,0.127,0.117,0.127,-0.037,-0.038,-0.039,0.013,0.012,0.014
583.311,1.600,0.307,0.434,-0.122,0.092,0.123,-0.035,-0.035,-0.035,0.012,0.011,0.015
583.322,-4.137,-1.129,0.010,0.168,0.093,0.118,-0.072,-0.072,-0.072,0.003,0.003,0.014
583.333,1.844,0.496,-0.068,0.085,0.097,0.115,-0.054,-0.053,-0.053,-0.005,-0.005,0.009
583.343,-2.061,0.236,0.151,0.044,0.096,0.113,-0.053,-0.052,-0.052,-0.003,-0.003,0.006
583.354,-1.573,0.498,0.309,0.170,0.107,0.112,-0.039,-0.039,-0.039,-0.000,-0.001,0.005
583.365,-3.893,-0.241,0.306,-0.122,0.100,0.111,-0.048,-0.048,-0.048,-0.000,-0.000,0.005
583.375,-5.357,-1.120,-0.119,-0.039,0.111,0.111,-0.079,-0.079,-0.080,-0.011,-0.011,0.002
583.386,-1.451,-0.384,-0.236,0.127,0.117,0.111,-0.054,-0.055,-0.055,-0.019,-0.019,-0.003
583.397,4.530,-0.494,-0.333,-0.039,0.119,0.113,-0.043,-0.044,-0.044,-0.025,-0.026,-0.009
583.407,5.262,0.178,-0.286,0.044,0.121,0.114,-0.039,-0.040,-0.040,-0.032,-0.032,-0.016
583.418,6.239,1.356,0.135,0.169,0.118,0.115,-0.014,-0.014,-0.014,-0.028,-0.029,-0.021
583.429,-2.672,0.597,0.475,-0.080,0.098,0.114,-0.023,-0.022,-0.023,-0.020,-0.020,-0.020
583.439,-0.841,0.496,0.599,0.127,0.116,0.113,-0.010,-0.010,-0.010,-0.015,-0.015,-0.018
583.450,2.454,0.158,0.399,0.127,0.100,0.112,-0.023,-0.023,-0.023,-0.017,-0.017,-0.016
583.461,2.821,-0.014,0.180,0.295,0.097,0.109,-0.037,-0.037,-0.037,-0.022,-0.022,-0.017
583.471,-2.916,-0.506,-0.001,0.044,0.102,0.108,-0.065,-0.065,-0.065,-0.029,-0.029,-0.019
583.482,-4.503,-0.432,-0.093,0.002,0.091,0.106,-0.069,-0.068,-0.068,-0.036,-0.036,-0.024
583.492,2.576,0.210,-0.093,0.086,0.074,0.102,-0.070,-0.069,-0.068,-0.042,-0.042,-0.028
583.503,-0.230,0.218,0.101,0.127,0.090,0.099,-0.065,-0.065,-0.064,-0.041,-0.041,-0.032
583.514,-1.939,0.487,0.299,0.044,0.080,0.097,-0.052,-0.051,-0.051,-0.039,-0.038,-0.033
583.524,-2.306,-0.016,0.363,0.170,0.104,0.097,-0.051,-0.051,-0.051,-0.036,-0.036,-0.033
583.535,-1.817,-0.060,0.319,0.294,0.112,0.098,-0.039,-0.040,-0.039,-0.036,-0.036,-0.032
583.546,0.135,-0.325,0.087,0.085,0.105,0.100,-0.055,-0.055,-0.054,-0.043,-0.042,-0.034
583.556,6.727,0.644,0.122,0.169,0.112,0.101,-0.038,-0.038,-0.038,-0.045,-0.045,-0.036
583.567,-1.451,0.413,0.275,0.085,0.108,0.102,-0.047,-0.047,-0.047,-0.043,-0.043,-0.037
583.578,-1.695,0.552,0.483,0.336,0.123,0.104,-0.032,-0.033,-0.033,-0.038,-0.038,-0.037
583.588,-1.451,0.513,0.580,0.211,0.128,0.107,-0.021,-0.021,-0.021,-0.033,-0.033,-0.034
583.599,2.332,0.697,0.481,0.002,0.119,0.109,-0.034,-0.034,-0.034,-0.034,-0.034,-0.032
583.610,2.943,1.297,0.706,0.086,0.126,0.111,-0.008,-0.009,-0.009,-0.027,-0.027,-0.030
583.620,2.088,0.746,0.752,0.086,0.120,0.113,-0.016,-0.016,-0.017,-0.020,-0.020,-0.025
583.631,-3.404,1.060,0.930,-0.080,0.119,0.115,-0.000,-0.000,-0.000,-0.012,-0.012,-0.019
583.642,-0.841,0.603,0.818,0.002,0.116,0.116,-0.013,-0.014,-0.014,-0.008,-0.008,-0.014
583.652,5.384,0.439,0.537,0.086,0.119,0.115,-0.027,-0.027,-0.028,-0.010,-0.011,-0.010
583.663,2.943,0.942,0.651,0.253,0.118,0.116,-0.003,-0.003,-0.004,-0.005,-0.005,-0.007
583.674,2.576,1.370,0.883,0.044,0.102,0.114,0.018,0.019,0.018,0.004,0.004,-0.002
583.684,6.117,1.317,0.985,0.002,0.096,0.112,0.033,0.033,0.033,0.014,0.013,0.003
583.695,-2.794,0.177,0.847,0.254,0.087,0.108,0.010,0.011,0.011,0.018,0.018,0.010
583.705,2.332,1.044,0.826,0.086,0.095,0.106,0.034,0.035,0.035,0.021,0.021,0.015
583.716,-4.625,0.438,0.823,0.044,0.095,0.104,0.029,0.029,0.029,0.027,0.027,0.020
583.727,-1.085,-0.346,0.383,0.211,0.103,0.103,0.003,0.003,0.003,0.021,0.021,0.023
583.737,3.187,0.019,0.183,0.253,0.110,0.103,0.006,0.006,0.006,0.015,0.015,0.022
583.748,3.065,-0.116,0.085,0.128,0.110,0.104,0.004,0.004,0.004,0.012,0.012,0.020
583.759,0.623,0.791,0.363,0.044,0.111,0.106,0.039,0.039,0.039,0.016,0.016,0.018
583.769,6.483,0.915,0.501,0.127,0.118,0.107,0.056,0.055,0.056,0.021,0.021,0.020
583.780,-0.597,1.020,0.753,0.002,0.126,0.110,0.071,0.070,0.070,0.030,0.030,0.023
583.791,1.600,-0.198,0.490,0.253,0.140,0.113,0.040,0.038,0.038,0.029,0.029,0.026
583.801,-3.038,0.008,0.282,-0.039,0.135,0.117,0.030,0.029,0.028,0.023,0.023,0.026
583.812,0.867,0.719,0.450,0.127,0.138,0.119,0.056,0.054,0.054,0.027,0.026,0.026
583.822,2.210,0.666,0.585,-0.205,0.103,0.120,0.059,0.059,0.058,0.032,0.031,0.028
583.833,2.454,-0.684,0.172,0.044,0.099,0.117,0.018,0.019,0.018,0.025,0.024,0.029
583.844,8.680,1.114,0.240,0.002,0.081,0.114,0.057,0.058,0.058,0.023,0.023,0.027
583.854,-0.352,0.995,0.534,0.044,0.096,0.111,0.056,0.056,0.056,0.030,0.029,0.028
583.865,2.576,1.635,0.776,0.044,0.080,0.107,0.067,0.069,0.069,0.037,0.037,0.031
583.876,-2.672,0.899,1.010,0.044,0.095,0.105,0.071,0.072,0.072,0.049,0.049,0.037
583.886,1.966,1.067,0.940,0.085,0.078,0.102,0.064,0.065,0.065,0.052,0.053,0.043
583.897,4.774,0.907,0.931,0.169,0.086,0.099,0.078,0.079,0.080,0.060,0.060,0.049
583.907,-0.841,1.207,1.133,-0.039,0.085,0.097,0.099,0.100,0.101,0.070,0.071,0.057
583.918,0.257,1.581,1.242,0.127,0.092,0.096,0.108,0.108,0.109,0.080,0.080,0.065
583.929,-0.230,1.197,1.280,0.169,0.099,0.096,0.099,0.100,0.100,0.089,0.090,0.074
583.940,-0.108,1.292,1.280,0.002,0.094,0.096,0.098,0.099,0.099,0.097,0.098,0.084
583.950,-1.329,0.967,1.201,0.085,0.095,0.096,0.102,0.102,0.103,0.105,0.106,0.093
583.961,1.600,1.011,1.120,0.127,0.096,0.095,0.115,0.116,0.117,0.112,0.113,0.101
583.971,2.576,1.423,1.137,0.169,0.110,0.097,0.131,0.131,0.131,0.120,0.120,0.108
583.982,-4.259,0.850,1.230,0.295,0.122,0.099,0.145,0.145,0.145,0.132,0.132,0.117
583.993,2.088,1.506,1.213,0.211,0.124,0.102,0.153,0.152,0.153,0.138,0.138,0.125
584.003,3.187,1.019,1.222,0.086,0.130,0.106,0.165,0.164,0.164,0.149,0.149,0.134
584.014,-1.695,1.249,1.274,0.127,0.136,0.110,0.188,0.187,0.187,0.159,0.159,0.143
584.025,-2.672,0.980,1.298,0.086,0.129,0.113,0.197,0.196,0.196,0.169,0.169,0.153
584.035,-4.869,0.061,0.989,0.044,0.122,0.114,0.176,0.175,0.175,0.170,0.170,0.160
584.046,-1.451,0.407,0.710,0.253,0.132,0.116,0.183,0.182,0.182,0.168,0.168,0.164
584.057,1.111,0.634,0.743,0.169,0.135,0.118,0.215,0.214,0.213,0.173,0.173,0.168
584.067,1.966,0.807,0.745,0.169,0.150,0.122,0.221,0.219,0.218,0.176,0.176,0.171
584.078,-7.799,0.290,0.796,0.002,0.157,0.127,0.221,0.218,0.218,0.182,0.181,0.175
584.089,-0.352,-0.259,0.429,0.085,0.154,0.131,0.200,0.198,0.197,0.176,0.175,0.177
584.099,2.943,-0.538,0.090,0.044,0.151,0.134,0.182,0.180,0.179,0.166,0.165,0.175
584.110,-2.184,-0.642,-0.139,-0.081,0.146,0.136,0.164,0.162,0.161,0.155,0.154,0.170
584.121,1.600,0.379,-0.061,0.086,0.144,0.137,0.191,0.190,0.189,0.150,0.149,0.164
584.132,3.187,0.275,-0.013,0.086,0.137,0.137,0.187,0.185,0.184,0.148,0.146,0.159
584.143,-1.939,-0.428,-0.060,-0.039,0.127,0.137,0.150,0.150,0.148,0.141,0.140,0.154
584.154,1.600,0.177,-0.047,0.002,0.114,0.135,0.163,0.163,0.161,0.136,0.135,0.149
584.164,2.821,-0.151,-0.056,-0.038,0.098,0.131,0.158,0.158,0.157,0.132,0.131,0.145
584.175,-3.160,-0.818,-0.253,0.170,0.091,0.127,0.123,0.124,0.123,0.121,0.120,0.138
584.187,2.576,-0.195,-0.326,-0.039,0.093,0.123,0.127,0.127,0.127,0.110,0.109,0.130
584.197,9.046,0.485,-0.300,-0.039,0.095,0.120,0.124,0.124,0.124,0.102,0.101,0.122
584.208,4.774,0.956,0.065,0.044,0.096,0.118,0.144,0.144,0.144,0.106,0.106,0.117
584.219,-1.451,0.142,0.155,0.128,0.104,0.116,0.121,0.121,0.121,0.107,0.107,0.114
584.230,7.337,0.695,0.120,0.002,0.101,0.114,0.115,0.115,0.115,0.102,0.101,0.111
584.241,-0.841,0.466,0.249,-3.218,0.104,0.119,0.100,0.100,0.100,0.103,0.102,0.108
584.252,3.309,0.488,0.335,-1.309,0.105,0.119,0.114,0.114,0.114,0.105,0.105,0.108
584.263,2.454,0.990,0.488,-0.209,0.059,0.116,0.131,0.133,0.133,0.109,0.109,0.108
584.274,-3.282,0.590,0.652,-2.608,0.008,0.111,0.144,0.148,0.148,0.117,0.117,0.110
584.285,3.675,1.196,0.707,-6.497,-0.115,0.096,0.143,0.153,0.154,0.119,0.120,0.113
584.296,-5.357,1.556,1.037,2.492,-0.204,0.057,0.159,0.173,0.175,0.130,0.133,0.118
584.307,-0.719,0.629,1.066,-3.875,0.031,0.057,0.160,0.160,0.163,0.139,0.142,0.125
584.318,-3.648,0.434,0.978,-6.397,-0.000,0.065,0.167,0.168,0.170,0.144,0.146,0.131
584.329,3.065,0.243,0.688,-2.498,0.139,0.079,0.165,0.157,0.159,0.141,0.142,0.136
584.340,-6.578,-0.506,0.335,1.036,0.153,0.092,0.129,0.120,0.121,0.133,0.133,0.136
584.351,-0.352,-0.118,0.152,-2.831,0.236,0.115,0.136,0.123,0.123,0.126,0.126,0.134
584.362,3.797,0.258,0.086,0.134,0.212,0.127,0.135,0.123,0.122,0.121,0.120,0.131
584.373,2.332,-0.293,-0.076,-4.984,0.147,0.136,0.087,0.077,0.076,0.112,0.110,0.126
584.384,-13.658,-1.946,-0.370,-1.943,0.079,0.135,0.030,0.024,0.023,0.098,0.097,0.120
584.395,-6.578,-2.321,-0.852,-1.488,0.208,0.143,0.021,0.008,0.006,0.075,0.074,0.109
584.406,-0.963,-1.234,-1.060,2.558,0.342,0.162,0.033,0.013,0.010,0.054,0.051,0.094
584.417,1.478,-0.519,-1.003,-6.944,0.285,0.181,0.021,0.004,0.000,0.039,0.036,0.078
584.428,0.135,-0.588,-0.844,9.295,0.206,0.164,0.017,0.005,0.002,0.031,0.028,0.065
584.439,-2.061,0.095,-0.490,-2.169,-0.097,0.149,0.046,0.050,0.048,0.030,0.028,0.054
584.450,-4.625,-0.959,-0.493,-3.050,-0.231,0.117,0.003,0.013,0.013,0.021,0.021,0.045
584.461,-5.724,-0.037,-0.428,8.340,-0.099,0.081,0.018,0.020,0.022,0.010,0.011,0.036
584.472,3.919,0.691,-0.182,-2.290,0.045,0.090,0.048,0.042,0.043,0.010,0.011,0.028
584.483,0.013,1.892,0.442,-13.172,0.075,0.110,0.114,0.106,0.106,0.026,0.026,0.026
584.494,12.342,2.676,0.908,3.361,0.265,0.116,0.144,0.127,0.126,0.041,0.041,0.029
584.504,0.135,1.622,1.158,7.967,0.479,0.144,0.130,0.100,0.098,0.058,0.056,0.037
584.515,3.553,1.671,1.279,1.404,0.573,0.185,0.152,0.117,0.113,0.073,0.070,0.047
584.526,2.088,1.139,1.267,-4.392,0.388,0.218,0.133,0.106,0.101,0.085,0.080,0.058
584.537,-5.235,0.585,1.166,3.440,0.192,0.215,0.125,0.107,0.102,0.093,0.088,0.068
584.548,-1.207,1.046,1.142,2.422,0.192,0.217,0.158,0.139,0.134,0.102,0.096,0.077
584.559,-8.043,-0.257,0.915,-5.260,0.302,0.239,0.130,0.105,0.098,0.105,0.098,0.085
584.570,4.041,1.058,0.793,-7.895,0.364,0.265,0.162,0.132,0.125,0.106,0.098,0.090
584.581,7.581,0.854,0.669,5.442,0.901,0.310,0.154,0.097,0.087,0.108,0.098,0.095
584.592,1.356,0.519,0.565,0.872,0.705,0.351,0.130,0.082,0.070,0.111,0.099,0.098
584.603,5.140,0.243,0.447,1.646,0.634,0.384,0.128,0.084,0.071,0.114,0.100,0.102
584.614,-2.306,-0.350,0.315,-4.621,0.602,0.414,0.120,0.077,0.062,0.114,0.099,0.104
584.625,-1.817,0.903,0.465,-6.069,0.250,0.410,0.140,0.114,0.099,0.118,0.103,0.105
584.636,0.013,0.340,0.428,19.056,0.654,0.394,0.144,0.096,0.082,0.119,0.105,0.108
584.647,4.774,0.783,0.411,-4.619,0.624,0.429,0.139,0.092,0.076,0.121,0.105,0.109
584.658,-2.061,0.147,0.405,3.944,0.443,0.424,0.117,0.079,0.064,0.123,0.108,0.112
584.669,-4.503,-0.259,0.307,1.212,0.116,0.397,0.092,0.070,0.056,0.121,0.107,0.113
584.680,1.356,-0.443,0.033,-6.396,-0.458,0.324,0.036,0.043,0.033,0.108,0.098,0.112
584.691,-2.184,0.537,0.156,6.078,-0.361,0.238,0.071,0.073,0.067,0.104,0.098,0.110
